cell_position,x,y,number_of_cells,proportion_of_cell,mean_wind_speed,year,ID,cluster_id
1083,4455000,3375000,1,2.34e-4,18.61349105834961,1,12,7
831,4535000,3415000,9,0.01638,18.659578323364254,1,26,7
636,4535000,3445000,1,0.04788,19.57239532470703,1,33,7
1084,4465000,3375000,3,0.044685,19.7426700592041,1,44,7
2060,4475000,3225000,1,0.01215,21.666542053222656,1,48,7
1595,4375000,3295000,1,0.020376,19.803537368774418,1,51,7
834,4565000,3415000,1,0.028935,18.94438934326172,1,56,7
951,4435000,3395000,1,0.028692,20.34555435180664,1,108,7
1289,4565000,3345000,1,0.006003,19.090219497680664,2,135,7
1213,4455000,3355000,1,0.039438,18.42177963256836,2,162,7
505,4525000,3465000,7,0.003915,20.895503997802734,2,203,7
1076,4385000,3375000,10,7.92e-4,19.846134185791016,2,219,7
1858,4405000,3255000,2,0.006354,20.79129409790039,2,233,7
634,4515000,3445000,2,0.001908,20.251487731933594,2,234,7
504,4515000,3465000,4,0.023643,19.576824188232425,2,251,7
1598,4405000,3295000,1,0.013005,21.141931533813477,2,257,7
1995,4475000,3235000,1,4.59e-4,17.900798797607422,2,274,7
964,4565000,3395000,41,1.89e-4,20.095958709716797,2,275,7
502,4495000,3465000,6,6.84e-4,20.80263900756836,3,309,7
1924,4415000,3245000,1,1.8e-4,20.11235618591309,3,311,7
758,4455000,3425000,1,0.001044,20.96793556213379,3,319,7
504,4515000,3465000,1,0.037062,20.20486640930176,3,330,7
1356,4585000,3335000,1,3.42e-4,18.46438217163086,3,347,7
1355,4575000,3335000,5,0.035631,18.45559310913086,3,354,7
1476,4485000,3315000,1,0.002151,18.635662078857425,3,355,7
1208,4405000,3355000,1,7.56e-4,20.298206329345703,3,359,7
565,4475000,3455000,1,0.017028,17.85588264465332,3,376,7
570,4525000,3455000,1,0.021168,19.458267211914062,4,392,7
953,4455000,3395000,1,0.00126,18.70723342895508,4,395,7
1283,4505000,3345000,1,0.035982,19.843400955200195,4,414,7
629,4465000,3445000,2,0.002385,19.876075744628903,4,428,7
1022,4495000,3385000,2,0.002853,19.142242431640625,4,449,7
1922,4395000,3245000,1,0.022122,19.448545455932617,4,468,7
1535,4425000,3305000,1,0.077634,19.633970260620117,4,482,7
637,4545000,3445000,1,0.034875,18.522470474243164,4,494,7
1995,4475000,3235000,1,5.58e-4,20.704683303833008,4,508,7
1729,4415000,3275000,1,0.035163,20.07421875,4,523,7
1542,4495000,3305000,1,3.51e-4,17.72307586669922,4,525,7
955,4475000,3395000,1,7.2e-5,19.89043426513672,4,526,7
1355,4575000,3335000,1,0.005427,19.36725616455078,4,530,7
1793,4405000,3265000,1,6.57e-4,20.430269241333008,4,542,7
638,4555000,3445000,2,0.014238,19.805463790893555,5,562,7
1407,4445000,3325000,1,0.006093,19.919597625732425,5,569,7
1022,4495000,3385000,2,0.00324,20.431745529174805,5,571,7
1551,4585000,3305000,1,0.002448,18.12285804748535,5,582,7
961,4535000,3395000,1,0.004257,20.679031372070312,5,598,7
1353,4555000,3335000,3,0.068895,19.721067428588867,5,601,7
634,4515000,3445000,1,0.005895,18.69055557250977,5,606,7
503,4505000,3465000,12,0.040734,20.590085983276367,5,623,7
1151,4485000,3365000,3,0.002313,19.229595184326172,5,627,7
827,4495000,3415000,1,4.95e-4,18.94438934326172,5,631,7
1091,4535000,3375000,19,0.002916,19.444721221923828,5,636,7
890,4475000,3405000,1,0.003123,21.15970230102539,5,641,7
769,4565000,3425000,1,0.022266,17.67450714111328,5,650,7
756,4435000,3425000,4,0.006615,20.906036376953125,5,653,7
2126,4485000,3215000,1,0.063135,20.79129409790039,5,666,7
1857,4395000,3255000,1,0.002835,20.639760971069336,5,674,7
949,4415000,3395000,2,0.026343,20.089815139770508,5,676,7
829,4515000,3415000,1,0.004194,20.81893539428711,5,684,7
1277,4445000,3345000,1,0.010917,18.32183837890625,6,688,7
967,4595000,3395000,2,0.018504,17.984638214111328,6,711,7
1029,4565000,3385000,6,0.006012,20.716651916503903,6,715,7
1348,4505000,3335000,2,0.007056,19.76655006408691,7,766,7
1141,4385000,3365000,1,2.7e-4,20.792482376098633,7,768,7
567,4495000,3455000,1,0.020628,19.12127113342285,7,773,7
1538,4455000,3305000,1,8.55e-4,20.018558502197266,7,777,7
1406,4435000,3325000,2,0.031518,18.86388778686523,7,783,7
704,4565000,3435000,1,0.012213,18.655935287475582,7,786,7
1095,4575000,3375000,11,0.001179,20.336421966552734,9,821,7
1026,4535000,3385000,1,0.008244,18.532094955444336,9,832,7
1274,4415000,3345000,1,1.08e-4,18.57753562927246,9,835,7
1154,4515000,3365000,1,0.087183,18.136882781982425,9,853,7
2060,4475000,3225000,1,5.94e-4,19.31142807006836,10,871,7
1029,4565000,3385000,1,0.02871,20.685293197631836,10,873,7
762,4495000,3425000,1,0.003339,18.575668334960938,10,884,7
1924,4415000,3245000,1,0.00108,19.809795379638672,10,910,7
570,4525000,3455000,1,0.001305,20.517179489135746,10,911,7
1023,4505000,3385000,7,0.039168,22.19642448425293,10,915,7
1408,4455000,3325000,1,1.89e-4,20.17558860778809,10,933,7
1532,4395000,3305000,1,0.008487,17.31364631652832,10,934,7
765,4525000,3425000,1,0.013545,19.573314666748047,10,939,7
1664,4415000,3285000,1,9.27e-4,20.342947006225582,10,956,7
1340,4425000,3335000,6,0.009531,19.61732482910156,10,957,7
764,4515000,3425000,11,0.01152,20.67738342285156,10,963,7
