cell_position,x,y,number_of_cells,proportion_of_cell,mean_wind_speed,year,ID,cluster_id
2142,4645000,3215000,1,0.041274,18.467798233032227,1,6,6
2138,4605000,3215000,1,0.021294,18.32183837890625,1,10,6
2464,4615000,3165000,4,6.21e-4,18.34004020690918,1,33,6
2399,4615000,3175000,3,0.008109,19.151657104492188,1,55,6
2059,4465000,3225000,1,0.005193,19.846134185791016,1,58,6
1611,4535000,3295000,1,0.024543,18.52000617980957,1,64,6
1610,4525000,3295000,1,0.009036,18.524250030517575,1,69,6
2467,4645000,3165000,1,0.001746,18.64832305908203,1,86,6
1738,4505000,3275000,7,0.004491,20.70808219909668,1,110,6
1814,4615000,3265000,1,0.051948,21.777042388916016,1,121,6
2321,4485000,3185000,2,0.006633,21.381362915039062,2,133,6
2201,4585000,3205000,1,0.021474,18.5423526763916,2,153,6
1861,4435000,3255000,12,0.011457,20.211345672607425,2,159,6
2454,4515000,3165000,1,0.003906,19.195838928222656,3,202,6
2138,4605000,3215000,11,0.00261,18.55738639831543,3,208,6
2140,4625000,3215000,16,8.01e-4,20.116235733032227,3,227,6
2468,4655000,3165000,7,2.52e-4,20.222097396850582,3,248,6
2072,4595000,3225000,1,0.012591,19.97444725036621,3,252,6
2402,4645000,3175000,1,0.003573,19.947277069091797,3,265,6
2326,4535000,3185000,1,5.4e-4,19.620952606201172,3,267,6
1731,4435000,3275000,1,0.010836,21.57303047180176,4,279,6
2398,4605000,3175000,12,2.79e-4,20.639760971069336,4,296,6
2592,4595000,3145000,3,0.004824,21.22803497314453,4,310,6
2123,4455000,3215000,1,1.62e-4,20.05980110168457,4,331,6
2519,4515000,3155000,1,0.032292,18.805219650268555,4,340,6
1944,4615000,3245000,1,0.01017,19.430288314819336,4,341,6
2663,4655000,3135000,1,0.005004,20.105709075927734,4,355,6
1096,4585000,3375000,2,0.00171,20.66724967956543,4,373,6
2070,4575000,3225000,1,0.002574,21.958599090576172,4,394,6
2131,4535000,3215000,1,0.003807,19.07193946838379,5,423,6
2128,4505000,3215000,2,0.00135,18.68009376525879,6,446,6
1937,4545000,3245000,1,0.113985,19.38920211791992,6,449,6
2007,4595000,3235000,4,0.001386,20.435302734375,6,453,6
1096,4585000,3375000,2,0.001017,18.538537979125977,6,474,6
1811,4585000,3265000,1,0.003744,22.03138542175293,7,496,6
2255,4475000,3195000,1,0.002952,18.677125930786133,7,527,6
2392,4545000,3175000,1,0.002052,19.156763076782227,7,530,6
2328,4555000,3185000,5,0.001242,19.469335556030273,7,533,6
2337,4645000,3185000,1,0.001395,20.413848876953125,7,552,6
2402,4645000,3175000,1,0.004347,20.63978576660156,7,569,6
2056,4435000,3225000,2,0.038898,19.950220108032227,7,572,6
2199,4565000,3205000,1,5.94e-4,18.861543655395508,7,586,6
2661,4635000,3135000,1,1.71e-4,21.08166885375977,7,608,6
1873,4555000,3255000,1,0.002376,21.58811378479004,8,663,6
1861,4435000,3255000,1,0.02547,19.82465934753418,8,668,6
2464,4615000,3165000,1,0.089694,18.59052085876465,8,699,6
2204,4615000,3205000,1,0.018288,20.092695236206055,8,718,6
1671,4485000,3285000,2,3.42e-4,19.678783416748047,9,754,6
2662,4645000,3135000,1,0.019656,20.09931755065918,9,758,6
1735,4475000,3275000,2,2.88e-4,24.01186752319336,9,763,6
2457,4545000,3165000,1,0.022473,20.919132232666016,9,781,6
1739,4515000,3275000,1,0.002988,20.182336807250977,9,787,6
2188,4455000,3205000,11,2.61e-4,19.33637046813965,10,824,6
1681,4585000,3285000,1,0.021015,20.43324851989746,10,833,6
1802,4495000,3265000,1,0.002097,19.86259651184082,10,839,6
2333,4605000,3185000,1,0.001269,18.198328018188477,10,843,6
1553,4605000,3305000,1,0.054504,21.841203689575195,10,849,6
1996,4485000,3235000,1,0.007218,18.912559509277344,11,861,6
1544,4515000,3305000,8,3.42e-4,18.92417335510254,11,883,6
1801,4485000,3265000,1,0.021015,19.90102195739746,11,884,6
1293,4605000,3345000,1,0.063828,19.170700073242188,11,897,6
1942,4595000,3245000,1,0.014067,19.217126846313477,11,920,6
2328,4555000,3185000,1,3.42e-4,18.47961807250977,11,921,6
1745,4575000,3275000,1,0.009531,19.013851165771484,11,938,6
2387,4495000,3175000,1,4.14e-4,19.055654525756836,11,942,6
2263,4555000,3195000,1,4.95e-4,19.735231399536133,12,966,6
2460,4575000,3165000,1,5.94e-4,21.322460174560547,12,984,6
2517,4495000,3155000,4,0.044685,20.112062454223633,12,986,6
2322,4495000,3185000,1,0.008568,18.805219650268555,12,992,6
2396,4585000,3175000,1,6.12e-4,18.25775718688965,12,1013,6
2594,4615000,3145000,1,0.045846,19.156763076782227,12,1016,6
1994,4465000,3235000,1,0.038007,19.64274024963379,12,1036,6
2331,4585000,3185000,2,0.008001,21.212421417236328,12,1039,6
1748,4605000,3275000,7,0.010458,18.714569091796875,12,1043,6
1606,4485000,3295000,1,0.001233,20.151620864868164,12,1052,6
1749,4615000,3275000,1,0.002817,20.471284866333008,13,1059,6
1733,4455000,3275000,1,0.019017,19.384443283081055,13,1062,6
1811,4585000,3265000,1,0.004257,20.508066177368164,13,1072,6
2467,4645000,3165000,1,2.61e-4,20.63209342956543,13,1074,6
2270,4625000,3195000,6,4.32e-4,18.732925415039062,13,1077,6
2203,4605000,3205000,1,0.00801,19.99636459350586,13,1084,6
2269,4615000,3195000,1,9.27e-4,19.08753967285156,14,1088,6
2003,4555000,3235000,2,0.014319,20.15507125854492,14,1096,6
1745,4575000,3275000,1,0.001908,20.57667350769043,14,1097,6
1293,4605000,3345000,2,0.042399,21.06009292602539,14,1118,6
2398,4605000,3175000,2,8.19e-4,18.44512939453125,15,1149,6
1227,4595000,3355000,1,0.027648,20.158843994140625,16,1188,6
2129,4515000,3215000,1,4.41e-4,21.85620880126953,16,1194,6
2395,4575000,3175000,1,0.005193,19.08364486694336,16,1209,6
1815,4625000,3265000,2,0.005724,20.510608673095703,16,1237,6
1944,4615000,3245000,1,6.03e-4,19.074756622314453,16,1247,6
2524,4565000,3155000,1,0.022149,19.924062728881836,16,1267,6
2336,4635000,3185000,1,0.001989,20.190927505493164,16,1282,6
1933,4505000,3245000,1,0.001188,18.86153221130371,17,1336,6
1800,4475000,3265000,1,0.002475,20.03321075439453,17,1350,6
