cell_position,x,y,number_of_cells,proportion_of_cell,mean_wind_speed,year,ID,cluster_id
4039,4115000,2915000,3,0.102906,20.540775299072266,1,7,12
3909,4115000,2935000,1,0.022185,17.69212532043457,1,22,12
3133,4155000,3055000,5,0.016164,21.309110641479492,1,26,12
3839,4065000,2945000,1,0.003276,19.664615631103516,1,28,12
2627,4295000,3135000,1,0.004941,20.24141502380371,1,35,12
2497,4295000,3155000,14,0.016542,21.216224670410156,1,47,12
2173,4305000,3205000,1,0.004347,19.21992874145508,1,54,12
2884,4265000,3095000,1,0.015561,18.74155616760254,1,57,12
3915,4175000,2935000,1,0.008289,18.870384216308594,1,60,12
2436,4335000,3165000,4,0.027027,20.04718017578125,1,71,12
3455,4125000,3005000,1,1.98e-4,21.55099868774414,1,77,12
2304,4315000,3185000,1,0.003573,19.07442283630371,1,80,12
3213,4305000,3045000,2,0.001647,19.824129104614254,1,84,12
1973,4255000,3235000,1,0.014274,19.18660545349121,1,87,12
2046,4335000,3225000,1,0.005949,20.2278995513916,1,88,12
2502,4345000,3155000,1,3.69e-4,19.30801773071289,1,98,12
3647,4095000,2975000,1,0.002916,19.449466705322266,1,102,12
2435,4325000,3165000,1,0.004428,20.195510864257812,1,103,12
3727,4245000,2965000,1,9.72e-4,19.39984130859375,1,112,12
2045,4325000,3225000,1,0.007353,21.255128860473633,1,115,12
2566,4335000,3145000,1,0.005841,19.95835304260254,1,120,12
2740,4125000,3115000,1,0.0081,20.94176483154297,2,123,12
3004,4165000,3075000,1,0.001026,18.67853546142578,2,126,12
2438,4355000,3165000,2,0.002763,19.283477783203125,2,136,12
1854,4365000,3255000,4,0.010935,20.56102180480957,2,140,12
1908,4255000,3245000,1,0.00351,17.735021591186523,2,143,12
3397,4195000,3015000,3,0.008982,20.71196937561035,2,150,12
3331,4185000,3025000,1,0.00315,22.277055740356445,2,154,12
3923,4255000,2935000,1,0.001782,18.21142578125,2,157,12
3910,4125000,2935000,1,0.002835,20.44676399230957,2,167,12
3653,4155000,2975000,4,0.001395,19.952770233154297,2,169,12
2562,4295000,3145000,1,0.001854,18.741653442382812,3,175,12
3913,4155000,2935000,2,0.010404,18.804462432861328,3,178,12
3076,4235000,3065000,11,1.8e-4,20.016359329223633,3,187,12
2740,4125000,3115000,1,0.020421,20.38676071166992,3,189,12
2750,4225000,3115000,1,3.24e-4,18.669506072998047,3,195,12
3268,4205000,3035000,2,0.001863,17.802371978759766,3,204,12
2494,4265000,3155000,4,0.003015,20.320716857910156,3,211,12
2177,4345000,3205000,1,5.04e-4,19.613548278808594,3,212,12
3148,4305000,3055000,1,1.17e-4,19.459983825683594,3,213,12
3017,4295000,3075000,1,0.00351,19.430288314819336,3,224,12
2759,4315000,3115000,3,0.015831,21.17595672607422,3,226,12
2043,4305000,3225000,6,0.036558,19.62932014465332,3,237,12
3399,4215000,3015000,18,0.007029,19.469335556030273,3,239,12
2429,4265000,3165000,8,5.04e-4,18.667661666870117,3,244,12
4102,4095000,2905000,1,2.34e-4,17.484458923339844,3,255,12
1911,4285000,3245000,1,0.009486,20.131242752075195,3,263,12
3973,4105000,2925000,2,0.019341,18.88661766052246,3,266,12
2690,4275000,3125000,1,3.96e-4,20.452167510986328,4,285,12
3538,4305000,2995000,1,0.002412,19.64410400390625,4,303,12
2171,4285000,3205000,1,0.003186,18.65799331665039,4,306,12
3517,4095000,2995000,1,0.014319,21.540313720703125,4,311,12
1900,4175000,3245000,1,2.97e-4,19.167783737182617,4,315,12
3971,4085000,2925000,1,0.017451,20.604148864746097,4,322,12
3209,4265000,3045000,1,0.032238,20.655000686645508,4,327,12
3463,4205000,3005000,1,0.021474,19.55779266357422,4,329,12
2100,4225000,3215000,1,8.1e-5,19.661609649658203,4,330,12
3666,4285000,2975000,7,2.25e-4,20.269271850585938,4,333,12
3584,4115000,2985000,1,0.00126,18.57101058959961,4,339,12
2889,4315000,3095000,1,0.008901,18.725622177124023,4,342,12
2237,4295000,3195000,4,0.009117,21.90968894958496,4,353,12
3645,4075000,2975000,1,3.6e-5,18.15471839904785,4,358,12
3986,4235000,2925000,1,0.001908,19.81108283996582,4,367,12
3263,4155000,3035000,1,5.4e-4,20.78902244567871,4,368,12
2428,4255000,3165000,20,0.004779,19.43161964416504,4,369,12
3455,4125000,3005000,1,4.95e-4,18.83479881286621,4,370,12
3149,4315000,3055000,1,1.71e-4,20.718517303466797,4,372,12
3647,4095000,2975000,28,2.25e-4,18.72569274902344,4,376,12
3719,4165000,2965000,1,9.54e-4,19.528059005737305,4,377,12
2759,4315000,3115000,1,0.001872,20.352075576782227,4,384,12
2757,4295000,3115000,1,0.004716,19.97994613647461,4,390,12
3012,4245000,3075000,1,0.00432,20.152936935424805,4,393,12
2609,4115000,3135000,13,2.25e-4,20.523109436035156,5,421,12
2805,4125000,3105000,1,3.33e-4,19.195838928222656,5,428,12
2753,4255000,3115000,1,0.085122,19.27203941345215,5,436,12
2235,4275000,3195000,6,0.072234,19.70626449584961,6,442,12
2363,4255000,3175000,2,3.24e-4,17.818553924560547,6,450,12
2627,4295000,3135000,2,2.61e-4,19.67340660095215,6,451,12
3520,4125000,2995000,5,0.00891,19.721067428588867,6,460,12
3469,4265000,3005000,1,0.008307,20.19688415527344,6,463,12
3970,4075000,2925000,1,0.016119,19.970041275024418,6,469,12
2303,4305000,3185000,1,0.001737,18.57774543762207,6,475,12
2110,4325000,3215000,7,0.006894,20.950225830078125,6,478,12
1969,4215000,3235000,3,0.074313,19.117122650146484,6,481,12
1976,4285000,3235000,3,0.008289,20.580007553100582,6,482,12
2104,4265000,3215000,1,0.01152,19.012203216552734,7,483,12
3516,4085000,2995000,40,0.024777,20.463651657104492,7,490,12
2368,4305000,3175000,12,4.5e-4,19.965002059936523,7,509,12
3342,4295000,3025000,3,0.002862,20.309118270874023,7,512,12
2237,4295000,3195000,2,0.09441,20.184335708618164,7,513,12
2044,4315000,3225000,2,0.006048,20.376140594482425,7,514,12
3259,4115000,3035000,2,0.004518,18.859867095947266,7,518,12
4101,4085000,2905000,4,0.008991,19.044588088989254,7,526,12
3651,4135000,2975000,1,0.001089,19.07796859741211,7,528,12
3920,4225000,2935000,4,0.005841,20.07785987854004,7,529,12
2949,4265000,3085000,3,0.00387,18.83479881286621,7,551,12
3839,4065000,2945000,1,0.005112,19.393157958984375,7,563,12
1908,4255000,3245000,1,0.013293,20.190948486328125,7,567,12
3645,4075000,2975000,1,0.022014,20.39806365966797,7,574,12
3004,4165000,3075000,1,8.55e-4,20.63241958618164,7,580,12
4038,4105000,2915000,11,0.003789,21.396596908569336,7,588,12
3924,4265000,2935000,1,0.00225,21.322460174560547,7,595,12
3343,4305000,3025000,1,6.03e-4,20.87264060974121,7,602,12
2304,4315000,3185000,1,0.00153,19.824129104614254,7,614,12
2429,4265000,3165000,1,2.7e-5,18.44312286376953,7,622,12
2936,4135000,3085000,1,0.024183,20.153053283691406,7,627,12
3980,4175000,2925000,1,0.102906,22.475662231445312,7,632,12
3395,4175000,3015000,2,0.001926,18.454912185668945,7,635,12
3921,4235000,2935000,4,0.005247,20.79944229125977,8,636,12
3792,4245000,2955000,1,0.010071,20.854093551635746,8,638,12
2955,4325000,3085000,1,7.74e-4,17.726598739624023,8,641,12
3911,4135000,2935000,3,5.04e-4,17.923412322998047,8,643,12
3461,4185000,3005000,2,6.3e-5,20.91280746459961,8,652,12
1909,4265000,3245000,1,0.006453,19.67340660095215,8,655,12
3136,4185000,3055000,1,3.96e-4,20.43619155883789,8,656,12
2946,4235000,3085000,1,0.167526,19.389101028442383,8,662,12
4110,4175000,2905000,5,0.013554,20.824630737304688,8,671,12
3774,4065000,2955000,1,0.014895,19.453142166137695,8,674,12
3793,4255000,2955000,1,0.002763,21.403820037841797,8,690,12
3782,4145000,2955000,1,0.01071,19.167783737182617,8,695,12
2111,4335000,3215000,5,0.06705,18.26528549194336,8,696,12
3795,4275000,2955000,1,0.002349,20.105165481567383,8,705,12
2568,4355000,3145000,4,6.3e-5,21.368417739868164,8,708,12
2948,4255000,3085000,1,2.52e-4,18.86153221130371,8,709,12
3270,4225000,3035000,1,0.012726,18.32585906982422,8,714,12
2622,4245000,3135000,1,2.25e-4,21.12692642211914,8,717,12
2235,4275000,3195000,6,0.001476,19.823177337646484,8,724,12
1973,4255000,3235000,7,0.008415,20.81636428833008,8,731,12
3257,4095000,3035000,11,0.052488,19.720401763916016,8,735,12
2232,4245000,3195000,1,0.015426,18.75102806091309,8,742,12
3924,4265000,2935000,4,0.007362,17.613862991333008,8,744,12
2824,4315000,3105000,1,0.009036,19.057838439941406,8,745,12
1918,4355000,3245000,1,0.025983,18.92510032653809,9,750,12
3729,4265000,2965000,7,0.002052,18.336008071899418,9,757,12
3912,4145000,2935000,1,0.005724,18.43422508239746,9,759,12
2692,4295000,3125000,1,3.87e-4,20.39440536499023,9,764,12
3581,4085000,2985000,2,0.009018,19.2342529296875,9,767,12
2691,4285000,3125000,1,0.030609,20.711761474609375,9,771,12
3012,4245000,3075000,1,0.003681,20.077983856201172,9,780,12
1913,4305000,3245000,4,0.014274,19.309572219848633,9,783,12
2880,4225000,3095000,2,0.001827,18.855384826660156,9,784,12
2560,4275000,3145000,3,0.042012,20.474639892578125,9,789,12
3066,4135000,3065000,3,0.005283,19.73813819885254,9,791,12
3463,4205000,3005000,1,0.00351,18.347732543945312,10,801,12
1967,4195000,3235000,1,0.001782,21.777042388916016,10,803,12
4043,4155000,2915000,1,0.001062,20.18575096130371,10,820,12
3979,4165000,2925000,1,0.008064,20.59824562072754,10,829,12
2821,4285000,3105000,1,0.002736,20.711761474609375,10,844,12
3841,4085000,2945000,1,0.007965,20.89146614074707,10,847,12
2176,4335000,3205000,3,0.001395,19.973352432250977,10,848,12
3461,4185000,3005000,7,9.63e-4,21.244874954223633,10,852,12
2828,4355000,3105000,2,0.011925,20.679710388183594,10,853,12
3458,4155000,3005000,1,0.008919,18.926780700683594,10,855,12
2297,4245000,3185000,1,0.017757,21.870296478271484,10,857,12
3988,4255000,2925000,1,9.9e-5,20.55853843688965,11,868,12
3461,4185000,3005000,3,0.013383,19.47441673278809,11,872,12
3664,4265000,2975000,8,0.022995,18.42909049987793,11,878,12
3388,4105000,3015000,3,0.028314,20.0623779296875,11,888,12
3077,4245000,3065000,1,0.001341,19.79438591003418,11,894,12
2177,4345000,3205000,1,9.9e-5,20.887922286987305,11,895,12
2817,4245000,3105000,1,0.003123,18.635662078857425,11,896,12
3338,4255000,3025000,1,8.91e-4,17.717084884643555,11,916,12
3332,4195000,3025000,1,0.038844,18.365785598754883,11,933,12
3067,4145000,3065000,1,0.002484,19.947277069091797,11,949,12
3516,4085000,2995000,1,0.002601,18.980724334716797,12,969,12
3924,4265000,2935000,27,0.042399,20.273157119750977,12,975,12
3083,4305000,3065000,1,0.020826,20.071781158447266,12,994,12
3003,4155000,3075000,1,0.089694,18.011581420898438,12,995,12
2631,4335000,3135000,1,3.24e-4,21.697973251342773,12,1008,12
2822,4295000,3105000,1,0.004806,18.5513916015625,12,1010,12
3517,4095000,2995000,2,0.02025,19.93165397644043,12,1031,12
3716,4135000,2965000,1,0.003987,19.98529624938965,12,1033,12
3780,4125000,2955000,1,0.006453,20.03321075439453,12,1037,12
3012,4245000,3075000,3,0.003699,20.918651580810547,12,1048,12
3329,4165000,3025000,9,0.021582,18.543058395385746,12,1049,12
2480,4125000,3155000,7,3.24e-4,23.6965274810791,12,1055,12
4103,4105000,2905000,20,6.39e-4,21.556299209594727,13,1058,12
2755,4275000,3115000,1,0.019593,20.146642684936523,13,1060,12
3343,4305000,3025000,1,6.75e-4,20.684955596923828,13,1075,12
3407,4295000,3015000,1,0.008208,17.025156021118164,13,1081,12
3141,4235000,3055000,2,0.002979,20.209074020385746,13,1083,12
1901,4185000,3245000,3,0.08073,20.78902244567871,13,1085,12
3516,4085000,2995000,1,0.004401,18.262739181518555,14,1091,12
3794,4265000,2955000,1,0.032382,21.743717193603516,14,1094,12
3715,4125000,2965000,1,0.054612,20.17086601257324,14,1095,12
2891,4335000,3095000,1,9.45e-4,19.31142807006836,14,1107,12
3986,4235000,2925000,3,0.011799,19.310632705688477,15,1128,12
2364,4265000,3175000,11,5.94e-4,18.76630973815918,15,1138,12
2500,4325000,3155000,1,0.005976,19.23879051208496,15,1151,12
3850,4175000,2945000,1,3.69e-4,18.136882781982425,15,1153,12
3151,4335000,3055000,1,2.7e-4,20.06783103942871,15,1156,12
3277,4295000,3035000,1,3.69e-4,19.75440788269043,15,1158,12
2034,4215000,3225000,1,0.007209,20.580007553100582,16,1166,12
2944,4215000,3085000,13,0.047304,20.14994239807129,16,1172,12
2435,4325000,3165000,1,0.022401,18.980724334716797,16,1179,12
2694,4315000,3125000,1,0.002538,23.168926239013672,16,1186,12
2610,4125000,3135000,1,0.017307,19.4229793548584,16,1192,12
3127,4095000,3055000,7,0.004275,20.132980346679688,16,1196,12
2891,4335000,3095000,1,0.013554,19.970041275024418,16,1198,12
3071,4185000,3065000,8,0.006012,18.7647647857666,16,1207,12
3589,4165000,2985000,1,0.013959,18.783369064331055,16,1216,12
2755,4275000,3115000,12,0.008244,20.23953437805176,16,1220,12
3650,4125000,2975000,7,0.012555,20.814617156982425,16,1221,12
1982,4345000,3235000,1,0.005697,20.579805374145508,16,1222,12
2032,4195000,3225000,2,0.011421,22.46774673461914,16,1231,12
3520,4125000,2995000,1,0.001674,19.133394241333008,16,1232,12
2758,4305000,3115000,1,0.008019,20.820629119873047,16,1235,12
3719,4165000,2965000,1,0.005949,20.142423629760746,16,1236,12
3525,4175000,2995000,1,0.007218,20.73653984069824,16,1242,12
2298,4255000,3185000,1,0.007236,19.291372299194336,16,1255,12
3792,4245000,2955000,1,2.25e-4,20.517179489135746,16,1259,12
2567,4345000,3145000,1,0.038898,20.01742172241211,16,1261,12
2033,4205000,3225000,7,7.56e-4,20.98004913330078,16,1272,12
3067,4145000,3065000,1,0.060273,20.435346603393555,16,1274,12
3464,4215000,3005000,1,0.001062,19.85462188720703,16,1280,12
2943,4205000,3085000,1,0.017451,20.223623275756836,16,1284,12
2688,4255000,3125000,19,0.004095,21.31440162658691,16,1287,12
2951,4285000,3085000,1,7.83e-4,20.57826232910156,16,1290,12
2304,4315000,3185000,2,5.04e-4,20.151620864868164,16,1292,12
2114,4365000,3215000,3,1.98e-4,20.724111557006836,16,1300,12
3322,4095000,3025000,2,8.91e-4,17.485652923583984,16,1308,12
2828,4355000,3105000,1,0.002232,21.958599090576172,17,1313,12
3069,4165000,3065000,1,0.133839,20.1744441986084,17,1315,12
1905,4225000,3245000,1,5.04e-4,21.005762100219727,17,1322,12
2177,4345000,3205000,1,9.54e-4,19.584148406982425,17,1327,12
