cell_position,x,y,number_of_cells,proportion_of_cell,mean_wind_speed,year,ID,cluster_id
3396,4185000,3015000,1,4.5e-4,19.81793975830078,1,1,12
1979,4315000,3235000,1,6.75e-4,20.402124404907227,1,3,12
2627,4295000,3135000,1,0.022797,19.134912490844727,1,13,12
3135,4175000,3055000,1,0.058455,18.082475662231445,1,17,12
2496,4285000,3155000,1,6.66e-4,18.34656143188477,1,19,12
3074,4215000,3065000,1,0.022266,20.18575096130371,1,28,12
2634,4365000,3135000,2,0.003276,18.804462432861328,1,32,12
3011,4235000,3075000,3,0.049194,21.991390228271484,1,39,12
2498,4305000,3155000,1,0.044577,18.399696350097656,1,40,12
3725,4225000,2965000,1,0.001197,19.458301544189453,1,46,12
1903,4205000,3245000,2,1.08e-4,19.440156936645508,1,66,12
3404,4265000,3015000,1,0.007209,18.567543029785156,1,73,12
3783,4155000,2955000,1,0.061128,20.63587760925293,1,78,12
2890,4325000,3095000,1,0.002295,17.48702049255371,1,81,12
1899,4165000,3245000,1,0.004518,17.66716766357422,1,85,12
3393,4155000,3015000,1,0.008136,19.23717880249023,1,88,12
2689,4265000,3125000,1,0.001593,17.69212532043457,1,90,12
2884,4265000,3095000,1,0.013482,18.792661666870117,1,91,12
3274,4265000,3035000,1,0.016821,17.485652923583984,2,104,12
3409,4315000,3015000,4,0.013194000000000001,20.679710388183594,2,105,12
3325,4125000,3025000,1,0.008559,20.071571350097656,2,124,12
3726,4235000,2965000,2,3.33e-4,20.628700256347656,2,125,12
2051,4385000,3225000,3,0.068553,19.882293701171875,2,126,12
2626,4285000,3135000,1,0.032499,22.748367309570312,2,136,12
3537,4295000,2995000,1,2.16e-4,18.67853546142578,2,138,12
3924,4265000,2935000,6,5.4e-4,18.17344665527344,2,145,12
3910,4125000,2935000,4,0.062118,19.939001083374023,2,154,12
2884,4265000,3095000,6,0.095373,20.845861434936523,2,171,12
2172,4295000,3205000,1,0.001404,21.72975730895996,2,173,12
2303,4305000,3185000,2,0.001575,18.72864151000977,2,176,12
3002,4145000,3075000,7,0.016893,18.938833236694336,2,183,12
1965,4175000,3235000,1,0.027018,19.113994598388672,2,194,12
3332,4195000,3025000,1,0.003897,18.790319442749023,2,197,12
3665,4275000,2975000,1,7.56e-4,20.198223114013672,2,200,12
3000,4125000,3075000,1,0.002574,20.48007583618164,2,203,12
3071,4185000,3065000,1,0.024525,20.91280746459961,3,204,12
3391,4135000,3015000,2,0.020817,20.777809143066406,3,225,12
2564,4315000,3145000,7,0.04788,21.727787017822266,3,235,12
2109,4315000,3215000,7,0.00297,21.18191719055176,3,237,12
2884,4265000,3095000,1,0.010782,19.90709114074707,3,240,12
