cell_position,x,y,number_of_cells,proportion_of_cell,mean_wind_speed,year,ID,cluster_id
2510,4425000,3155000,2,7.11e-4,17.708560943603516,1,3,13
3336,4235000,3025000,2,0.003258,20.58492851257324,1,5,13
3985,4225000,2925000,3,0.004365,18.15471839904785,1,42,13
2698,4355000,3125000,3,0.003051,19.61243438720703,1,53,13
2768,4405000,3115000,1,2.25e-4,20.8177433013916,1,79,13
2640,4425000,3135000,1,0.030375,20.072633743286133,1,109,13
2851,4585000,3105000,1,6.48e-4,17.67450714111328,1,122,13
3789,4215000,2955000,1,0.004689,18.430641174316406,2,127,13
2726,4635000,3125000,1,0.009522,19.58343505859375,2,130,13
3722,4195000,2965000,3,0.023076,18.405860900878903,2,137,13
2830,4375000,3105000,2,0.029043,18.801982879638672,2,139,13
2779,4515000,3115000,4,5.13e-4,20.077823638916016,2,151,13
2833,4405000,3105000,1,0.01233,20.894800186157227,2,158,13
2972,4495000,3085000,1,0.003834,18.75102806091309,2,163,13
2635,4375000,3135000,2,9.9e-4,20.466142654418945,2,165,13
3721,4185000,2965000,1,0.001143,18.538970947265625,3,186,13
4823,4155000,2795000,1,0.001089,20.622135162353516,3,198,13
4242,4195000,2885000,1,0.003528,19.43161964416504,3,234,13
3528,4205000,2995000,1,9.18e-4,20.96793556213379,3,260,13
2905,4475000,3095000,1,5.04e-4,19.88991355895996,3,271,13
2899,4415000,3095000,1,4.32e-4,18.763113021850582,4,276,13
2724,4615000,3125000,1,0.013365,19.571964263916016,4,290,13
3660,4225000,2975000,7,0.01449,20.252775192260746,4,293,13
2720,4575000,3125000,1,0.005193,19.568378448486328,4,300,13
2707,4445000,3125000,1,0.002376,20.851028442382812,4,301,13
2178,4355000,3205000,1,0.015084,18.613309860229492,4,347,13
2850,4575000,3105000,15,0.001134,20.7763671875,5,416,13
2704,4415000,3125000,1,0.0054,19.805463790893555,5,430,13
3402,4245000,3015000,1,0.00315,20.908784866333008,5,431,13
2722,4595000,3125000,9,7.74e-4,18.838539123535156,6,452,13
3530,4225000,2995000,1,8.55e-4,20.345823287963867,6,470,13
3591,4185000,2985000,1,0.035982,20.322776794433594,6,476,13
2778,4505000,3115000,2,0.002394,19.659988403320312,6,480,13
2729,4665000,3125000,1,0.005274,18.92416763305664,7,493,13
2838,4455000,3105000,3,0.053658,20.146141052246097,7,503,13
4436,4185000,2855000,1,4.23e-4,23.492650985717773,7,521,13
4888,4155000,2785000,1,0.06669,20.440454483032227,7,523,13
2787,4595000,3115000,1,0.001494,20.267093658447266,7,540,13
2510,4425000,3155000,1,0.005544,18.69368553161621,7,561,13
5018,4155000,2765000,1,0.002547,18.80718421936035,7,593,13
2701,4385000,3125000,5,0.001314,20.342947006225582,7,599,13
2699,4365000,3125000,1,0.025416,20.669235229492188,7,600,13
2723,4605000,3125000,2,0.026433,20.14457130432129,7,605,13
3917,4195000,2935000,1,0.018198,20.720338821411133,7,624,13
3596,4235000,2985000,1,0.004986,20.463651657104492,8,646,13
2715,4525000,3125000,2,5.4e-4,18.25581741333008,8,647,13
4179,4215000,2895000,1,0.001341,20.383346557617188,8,725,13
2838,4455000,3105000,1,0.053523,19.571964263916016,8,726,13
3402,4245000,3015000,2,0.006723,18.72569274902344,8,743,13
5277,4145000,2725000,1,0.018054,18.571758270263672,9,756,13
3851,4185000,2945000,1,0.002007,18.340181350708008,9,778,13
2770,4425000,3115000,1,3.42e-4,18.76891326904297,10,812,13
2715,4525000,3125000,1,4.77e-4,20.824630737304688,10,819,13
2585,4525000,3145000,1,0.008145,20.092695236206055,10,851,13
2713,4505000,3125000,1,9.27e-4,17.252918243408203,10,856,13
3468,4255000,3005000,1,0.077436,20.41653633117676,11,866,13
2904,4465000,3095000,3,0.003573,18.980724334716797,11,869,13
4952,4145000,2775000,1,0.001908,18.57402992248535,11,901,13
4050,4225000,2915000,1,0.06957,19.417709350585938,11,902,13
2636,4385000,3135000,1,0.008721,21.407569885253903,11,904,13
2713,4505000,3125000,1,0.022014,20.238805770874023,11,910,13
2702,4395000,3125000,1,5.94e-4,21.07646369934082,11,955,13
2503,4355000,3155000,1,0.025758,19.489295959472656,11,956,13
3661,4235000,2975000,5,7.2e-4,20.1947021484375,11,958,13
2765,4375000,3115000,1,0.00225,19.346153259277344,11,959,13
3466,4235000,3005000,1,0.010431,18.622608184814453,12,1002,13
5278,4155000,2725000,1,0.010782,20.4797306060791,12,1006,13
