cell_position,x,y,number_of_cells,proportion_of_cell,mean_wind_speed,year,ID,cluster_id
1985,4375000,3235000,1,0.032166,19.956308364868164,1,4,12
3329,4165000,3025000,1,0.005823,20.686120986938477,1,21,12
3781,4135000,2955000,1,8.91e-4,19.26308250427246,1,24,12
2762,4345000,3115000,1,2.61e-4,20.508066177368164,1,26,12
3717,4145000,2965000,2,0.019044,21.883214950561523,1,45,12
3778,4105000,2955000,2,0.021204,18.55132293701172,1,46,12
2495,4275000,3155000,1,0.002637,18.92719078063965,1,48,12
3850,4175000,2945000,4,2.52e-4,19.830232620239254,1,52,12
2168,4255000,3205000,1,3.51e-4,19.647239685058594,2,57,12
3339,4265000,3025000,1,0.013293,18.676509857177734,2,58,12
3581,4085000,2985000,1,0.005643,20.200769424438477,2,65,12
1835,4175000,3255000,1,6.3e-4,20.777809143066406,2,72,12
3329,4165000,3025000,2,0.001566,18.942598342895508,2,73,12
2821,4285000,3105000,1,0.009711,19.80810546875,2,78,12
3846,4135000,2945000,1,0.004122,20.72406768798828,2,96,12
2753,4255000,3115000,2,7.29e-4,22.6788387298584,2,98,12
2952,4295000,3085000,1,0.009324,19.304119110107425,2,101,12
3586,4135000,2985000,1,0.001062,18.925079345703125,2,106,12
2034,4215000,3225000,1,0.01179,18.74542236328125,2,109,12
2366,4285000,3175000,1,0.009315,20.99001121520996,2,113,12
3395,4175000,3015000,2,0.001089,20.86421585083008,2,115,12
3914,4165000,2935000,7,0.011817,17.475278854370117,2,119,12
3398,4205000,3015000,1,0.001395,20.444738388061523,2,128,12
3972,4095000,2925000,1,4.32e-4,18.223957061767575,2,129,12
3911,4135000,2935000,1,0.004365,19.64831161499023,2,153,12
3392,4145000,3015000,2,0.002142,21.093198776245117,2,158,12
3587,4145000,2985000,1,3.42e-4,20.02813720703125,2,159,12
2365,4275000,3175000,1,0.038016,19.528059005737305,2,169,12
1966,4185000,3235000,11,0.167526,20.26093292236328,2,173,12
3523,4155000,2995000,1,6.48e-4,18.855751037597656,2,182,12
2497,4295000,3155000,1,0.001377,23.972970962524418,2,186,12
2752,4245000,3115000,1,0.045999,20.257478713989254,2,188,12
2881,4235000,3095000,2,0.003069,20.4797306060791,2,194,12
2165,4225000,3205000,1,0.019539,20.0540771484375,3,212,12
3268,4205000,3035000,1,0.013734,19.924758911132812,3,233,12
3012,4245000,3075000,1,9.9e-5,20.97447204589844,3,237,12
1966,4185000,3235000,4,0.019341,19.458301544189453,3,247,12
3257,4095000,3035000,1,2.61e-4,18.86236000061035,4,260,12
2807,4145000,3105000,1,5.94e-4,18.665355682373047,4,262,12
1965,4175000,3235000,3,0.003177,18.995290756225582,4,266,12
3398,4205000,3015000,7,4.14e-4,21.537452697753903,4,270,12
1918,4355000,3245000,8,6.66e-4,19.89198875427246,4,277,12
3267,4195000,3035000,2,0.008559,17.978057861328125,4,281,12
2687,4245000,3125000,2,0.011763,19.351293563842773,4,299,12
2950,4275000,3085000,4,0.014328,20.08604431152344,4,300,12
3258,4105000,3035000,3,0.046278,19.24070930480957,4,304,12
3199,4165000,3045000,1,0.001737,19.416603088378903,5,325,12
1904,4215000,3245000,6,0.001809,19.02981185913086,5,340,12
2568,4355000,3145000,1,4.14e-4,19.136341094970703,6,344,12
3988,4255000,2925000,1,0.026892,20.17491912841797,6,347,12
4170,4125000,2895000,2,0.030798,19.52049446105957,6,352,12
2886,4285000,3095000,1,0.002295,19.156129837036133,6,372,12
3393,4155000,3015000,2,1.89e-4,20.68649673461914,6,386,12
1986,4385000,3235000,1,0.004725,18.281108856201172,6,387,12
3841,4085000,2945000,1,0.210555,19.71308135986328,6,411,12
3406,4285000,3015000,1,2.97e-4,18.460891723632812,6,414,12
2434,4315000,3165000,1,0.008991,21.68950462341309,6,421,12
2043,4305000,3225000,1,0.006336,20.086620330810547,6,425,12
2950,4275000,3085000,1,0.108009,19.044588088989254,6,434,12
3586,4135000,2985000,1,0.002241,17.67450714111328,6,439,12
2880,4225000,3095000,1,0.028845,20.818531036376953,6,440,12
1974,4265000,3235000,1,0.011313,19.48421287536621,6,445,12
4043,4155000,2915000,2,0.001287,19.387920379638672,7,452,12
3324,4115000,3025000,1,9.72e-4,20.53567123413086,7,457,12
2872,4145000,3095000,2,0.031419,19.76241874694824,7,464,12
2947,4245000,3085000,1,6.75e-4,19.23491859436035,7,476,12
3074,4215000,3065000,3,0.009558,21.170969009399418,7,482,12
2955,4325000,3085000,3,0.007056,18.648948669433594,7,484,12
1909,4265000,3245000,2,0.012834,20.057193756103516,7,491,12
2761,4335000,3115000,1,0.002565,21.426624298095703,7,493,12
2034,4215000,3225000,1,3.33e-4,20.980669021606445,7,496,12
2687,4245000,3125000,1,0.036684,19.571945190429688,7,507,12
3457,4145000,3005000,1,0.042165,19.11332893371582,7,513,12
2365,4275000,3175000,3,6.75e-4,19.76164436340332,7,522,12
2035,4225000,3225000,1,0.028791,19.938579559326172,7,537,12
3792,4245000,2955000,1,0.012222,20.3553409576416,7,541,12
2165,4225000,3205000,1,0.016956,20.89146614074707,7,543,12
4101,4085000,2905000,1,0.001008,18.650196075439453,8,556,12
3582,4095000,2985000,1,0.001197,19.199668884277344,8,558,12
2370,4325000,3175000,1,0.008235,18.938711166381836,8,581,12
3394,4165000,3015000,3,0.002835,22.96939468383789,9,587,12
2951,4285000,3085000,1,0.002439,19.117122650146484,9,589,12
3780,4125000,2955000,5,0.035631,19.887365341186523,9,590,12
2818,4255000,3105000,1,0.001341,19.07220458984375,9,592,12
2882,4245000,3095000,1,4.59e-4,19.97444725036621,9,594,12
2952,4295000,3085000,2,0.002682,19.180517196655273,9,597,12
2496,4285000,3155000,1,8.73e-4,20.57826232910156,9,600,12
3578,4055000,2985000,1,2.25e-4,17.687440872192383,9,604,12
3138,4205000,3055000,1,0.009495,22.59413719177246,9,610,12
2626,4285000,3135000,1,0.002556,20.290098190307617,9,615,12
2871,4135000,3095000,1,0.001359,19.161590576171875,9,617,12
3210,4275000,3045000,1,0.008181,21.014986038208008,9,622,12
2936,4135000,3085000,1,0.0153,18.93484878540039,9,656,12
2611,4135000,3135000,3,0.003573,18.59052085876465,9,673,12
3388,4105000,3015000,1,0.008145,19.744007110595703,9,677,12
3277,4295000,3035000,1,0.003366,20.115324020385746,9,681,12
2948,4255000,3085000,2,0.063423,20.56102180480957,9,687,12
2676,4135000,3125000,1,5.31e-4,19.205781936645508,9,689,12
3525,4175000,2995000,1,0.023931,19.426332473754883,9,693,12
3267,4195000,3035000,1,0.013104,21.015838623046875,9,697,12
2690,4275000,3125000,10,0.004716,19.272159576416016,9,703,12
1978,4305000,3235000,1,0.019377,19.984901428222656,10,705,12
3923,4255000,2935000,1,0.001008,19.85211181640625,10,708,12
3140,4225000,3055000,1,0.018009,18.295730590820312,10,710,12
2805,4125000,3105000,1,0.04788,19.62932014465332,10,721,12
2949,4265000,3085000,3,0.028908,20.229246139526367,10,723,12
2872,4145000,3095000,1,3.24e-4,21.035354614257812,10,724,12
3712,4095000,2965000,3,0.005778,20.39555549621582,10,736,12
3331,4185000,3025000,1,0.017019,17.533891677856445,11,756,12
3144,4265000,3055000,1,6.48e-4,19.417503356933594,11,758,12
1975,4275000,3235000,1,2.52e-4,20.150789260864254,11,781,12
1977,4295000,3235000,1,0.002034,19.593212127685547,11,791,12
3195,4125000,3045000,1,0.018891,18.791744232177734,11,802,12
3387,4095000,3015000,1,0.002358,20.260282516479492,11,803,12
3074,4215000,3065000,1,0.049185,20.388622283935547,11,813,12
3002,4145000,3075000,2,0.001116,17.71605682373047,11,828,12
3599,4265000,2985000,1,0.007731,17.7803955078125,11,836,12
3210,4275000,3045000,1,0.036405,18.251508712768555,11,841,12
3265,4175000,3035000,1,6.39e-4,19.900657653808594,12,851,12
2806,4135000,3105000,1,0.072234,20.95090103149414,12,855,12
1970,4225000,3235000,1,0.00441,18.3848819732666,12,857,12
2498,4305000,3155000,1,0.005544,19.34418678283691,12,858,12
3470,4275000,3005000,1,0.018198,19.117996215820312,12,873,12
2827,4345000,3105000,1,0.00567,20.004066467285156,12,878,12
3209,4265000,3045000,1,0.016605,20.588552474975582,12,880,12
2697,4345000,3125000,1,8.91e-4,19.63260269165039,12,883,12
3013,4255000,3075000,1,1.71e-4,19.449405670166016,13,907,12
2496,4285000,3155000,1,1.62e-4,19.721878051757812,13,910,12
3859,4265000,2945000,1,5.58e-4,20.251670837402344,13,918,12
3084,4315000,3065000,1,0.00441,21.54692268371582,13,919,12
3339,4265000,3025000,1,2.43e-4,19.208587646484375,13,929,12
3146,4285000,3055000,2,0.014607,20.071781158447266,13,936,12
3335,4225000,3025000,2,0.001098,20.866270065307617,13,941,12
3666,4285000,2975000,1,0.006498,20.57071876525879,13,947,12
2935,4125000,3085000,1,5.31e-4,20.918651580810547,13,949,12
2692,4295000,3125000,1,0.003933,19.85811233520508,13,951,12
3151,4335000,3055000,3,6.03e-4,19.91379737854004,13,959,12
3588,4155000,2985000,1,0.011736,18.732925415039062,13,960,12
3198,4155000,3045000,1,1.98e-4,20.471284866333008,13,966,12
2950,4275000,3085000,1,0.046791,20.475505828857425,13,971,12
2239,4315000,3195000,11,0.069723,20.406484603881836,13,976,12
3333,4205000,3025000,1,0.001782,19.030384063720703,13,981,12
2366,4285000,3175000,1,0.005805,17.70728302001953,13,990,12
3075,4225000,3065000,1,0.003528,20.692777633666992,13,1001,12
3840,4075000,2945000,1,0.002691,18.542478561401367,13,1011,12
3977,4145000,2925000,3,0.014364,20.2161922454834,13,1014,12
3211,4285000,3045000,1,0.021861,21.463375091552734,14,1019,12
2692,4295000,3125000,1,5.13e-4,20.431745529174805,14,1031,12
1973,4255000,3235000,2,0.002565,18.655935287475582,14,1032,12
2695,4325000,3125000,5,0.011034,20.736045837402344,14,1041,12
3208,4255000,3045000,2,5.13e-4,19.75229263305664,14,1072,12
2040,4275000,3225000,1,3.6e-4,20.559547424316406,14,1079,12
3395,4175000,3015000,2,0.008307,18.453296661376953,14,1081,12
2822,4295000,3105000,1,0.02322,20.87149429321289,14,1082,12
3842,4095000,2945000,17,7.74e-4,20.39234161376953,14,1090,12
3719,4165000,2965000,1,9.54e-4,20.85165023803711,14,1093,12
3976,4135000,2925000,1,0.018009,19.160486221313477,14,1094,12
3405,4275000,3015000,3,0.029331,19.5271053314209,14,1107,12
2807,4145000,3105000,3,0.088515,17.818553924560547,14,1108,12
3132,4145000,3055000,1,0.004986,19.86046028137207,14,1109,12
2757,4295000,3115000,2,0.016596,19.351293563842773,14,1113,12
3000,4125000,3075000,1,0.015912,19.503650665283203,14,1117,12
3912,4145000,2935000,1,3.33e-4,21.09891891479492,14,1132,12
1984,4365000,3235000,1,0.001584,17.4237003326416,14,1134,12
2035,4225000,3225000,1,0.015831,18.893476486206055,14,1137,12
2739,4115000,3115000,1,0.001665,22.96939468383789,14,1153,12
3396,4185000,3015000,4,0.024066,20.324661254882812,14,1154,12
3010,4225000,3075000,1,6.03e-4,21.04386329650879,14,1155,12
1908,4255000,3245000,1,0.053451,18.970264434814453,14,1159,12
3013,4255000,3075000,1,0.001233,22.632709503173828,14,1161,12
1835,4175000,3255000,4,0.002511,21.13043975830078,15,1175,12
2883,4255000,3095000,1,0.005697,19.687231063842773,15,1180,12
2690,4275000,3125000,1,0.007695,20.716651916503903,15,1188,12
3471,4285000,3005000,1,5.85e-4,21.600688934326172,15,1194,12
3580,4075000,2985000,1,3.51e-4,19.468326568603516,15,1197,12
3078,4255000,3065000,1,0.017244,20.807554244995117,15,1204,12
2046,4335000,3225000,1,0.019377,18.818683624267575,16,1214,12
3783,4155000,2955000,4,0.017019,20.905059814453125,16,1219,12
