cell_position,x,y,number_of_cells,proportion_of_cell,mean_wind_speed,year,ID,cluster_id
4638,4255000,2825000,5,0.03267,19.33637046813965,1,4,14
4324,4365000,2875000,1,6.03e-4,20.82377052307129,1,10,14
3806,4385000,2955000,10,1.98e-4,19.735231399536133,1,11,14
4183,4255000,2895000,2,0.002592,18.374650955200195,1,20,14
3415,4375000,3015000,1,0.001125,18.918720245361328,1,21,14
4117,4245000,2905000,1,0.004356,18.522470474243164,1,23,14
3681,4435000,2975000,1,0.005526,19.69407844543457,1,35,14
4333,4455000,2875000,1,0.005976,22.2147159576416,1,41,14
4383,4305000,2865000,1,5.76e-4,18.967700958251953,1,44,14
3088,4355000,3065000,3,5.58e-4,19.9719295501709,1,49,14
4264,4415000,2885000,1,0.022374,20.471960067749023,1,50,14
4582,4345000,2835000,1,0.058968,21.80120277404785,1,52,14
4054,4265000,2915000,2,0.006489,20.055360794067383,1,58,14
4319,4315000,2875000,1,0.025758,21.41213035583496,1,67,14
4317,4295000,2875000,1,1.08e-4,19.116682052612305,1,74,14
4385,4325000,2865000,2,0.045315,20.540775299072266,1,77,14
3604,4315000,2985000,2,0.011052,21.540313720703125,1,83,14
4248,4255000,2885000,3,0.01008,20.845590591430664,1,84,14
4052,4245000,2915000,1,3.51e-4,20.847644805908203,1,92,14
4245,4225000,2885000,5,0.001395,20.151838302612305,1,93,14
3996,4335000,2925000,1,0.006507,19.357120513916016,2,110,14
4069,4415000,2915000,1,0.025452,18.757627487182617,2,112,14
4065,4375000,2915000,1,0.008019,17.730480194091797,2,113,14
4315,4275000,2875000,1,0.003078,22.884632110595703,2,116,14
4055,4275000,2915000,2,0.002952,19.95558738708496,2,119,14
4393,4405000,2865000,4,0.035622,18.428787231445312,2,130,14
3351,4385000,3025000,1,4.68e-4,19.612777709960938,2,132,14
3874,4415000,2945000,3,0.00549,20.118846893310547,2,169,14
4247,4245000,2885000,1,0.002241,18.511552810668945,2,172,14
4442,4245000,2855000,1,0.002862,18.21192169189453,2,178,14
3805,4375000,2955000,1,0.006876,20.072040557861328,2,189,14
4960,4225000,2775000,11,0.00261,20.465150833129883,2,196,14
2967,4445000,3085000,1,0.022707,17.85964584350586,2,198,14
4311,4235000,2875000,1,0.02088,20.82706642150879,2,199,14
4312,4245000,2875000,3,0.002241,19.83164405822754,3,205,14
4182,4245000,2895000,1,0.028134,20.322776794433594,3,207,14
4319,4315000,2875000,1,0.07308,17.413955688476562,3,241,14
4073,4455000,2915000,1,0.043713,18.8896541595459,3,266,14
3867,4345000,2945000,2,0.013293,21.991390228271484,3,269,14
3037,4495000,3075000,1,0.011898,20.501840591430664,3,275,14
3680,4425000,2975000,1,0.027441,19.112457275390625,3,283,14
4064,4365000,2915000,1,0.001026,18.676239013671875,3,301,14
4137,4445000,2905000,1,2.79e-4,19.931955337524418,3,312,14
4183,4255000,2895000,28,0.00261,18.26677703857422,3,322,14
3678,4405000,2975000,3,0.016686,22.442228317260746,3,323,14
3733,4305000,2965000,1,0.004842,19.099063873291016,3,326,14
3797,4295000,2955000,1,0.003258,18.93461227416992,3,346,14
4053,4255000,2915000,2,0.003519,18.54788589477539,3,354,14
4324,4365000,2875000,1,4.14e-4,18.318540573120117,3,355,14
2960,4375000,3085000,1,0.022473,19.459983825683594,3,359,14
4767,4245000,2805000,6,0.004221,17.933788299560547,4,375,14
4508,4255000,2845000,1,0.04419,20.277238845825195,4,385,14
3543,4355000,2995000,1,3.51e-4,19.62408447265625,4,390,14
4069,4415000,2915000,1,0.029664,20.447521209716797,4,409,14
4064,4365000,2915000,4,0.007209,21.796953201293945,4,410,14
4312,4245000,2875000,1,3.6e-5,19.0362491607666,4,411,14
4700,4225000,2815000,1,2.61e-4,18.477989196777344,4,414,14
2967,4445000,3085000,1,0.017739,20.76161003112793,4,426,14
2847,4545000,3105000,11,0.004014,19.41852378845215,4,433,14
4460,4425000,2855000,1,0.002385,20.523109436035156,4,434,14
3735,4325000,2965000,7,0.00153,18.219493865966797,4,451,14
4182,4245000,2895000,1,0.00747,19.75259780883789,4,454,14
3931,4335000,2935000,1,0.072621,19.167783737182617,4,463,14
4333,4455000,2875000,3,0.029637,19.640399932861328,4,466,14
4646,4335000,2825000,1,0.002142,19.93222999572754,4,476,14
4518,4355000,2845000,2,7.02e-4,19.647602081298828,5,499,14
4251,4285000,2885000,2,0.009396,21.18286895751953,6,539,14
3484,4415000,3005000,1,0.002574,18.51429557800293,6,549,14
3541,4335000,2995000,2,0.012411,20.891664505004883,6,553,14
4322,4345000,2875000,1,0.019242,19.07796859741211,6,562,14
3604,4315000,2985000,1,0.005067,21.03299331665039,6,568,14
3809,4415000,2955000,4,6.75e-4,20.683914184570312,6,587,14
3677,4395000,2975000,1,0.002052,19.75259780883789,7,600,14
4399,4465000,2865000,1,0.020088,20.256258010864254,7,607,14
4376,4235000,2865000,1,0.014931,17.4237003326416,7,622,14
3930,4325000,2935000,1,0.00135,20.905059814453125,7,632,14
4317,4295000,2875000,3,0.00108,21.00604820251465,7,647,14
4392,4395000,2865000,2,7.2e-5,18.676509857177734,7,657,14
3542,4345000,2995000,1,9.45e-4,20.87270736694336,7,661,14
3925,4275000,2935000,1,0.006507,21.18839454650879,7,667,14
3875,4425000,2945000,1,0.00126,19.27908515930176,7,668,14
4006,4435000,2925000,1,0.005733,20.28438377380371,7,675,14
4383,4305000,2865000,29,0.005193,20.033029556274418,7,686,14
4132,4395000,2905000,2,0.002142,19.823177337646484,8,703,14
3874,4415000,2945000,1,0.042651,18.861555099487305,8,706,14
4895,4225000,2785000,1,9.9e-4,17.900798797607422,8,710,14
3797,4295000,2955000,1,0.002133,20.24663734436035,8,719,14
4123,4305000,2905000,19,3.51e-4,20.894800186157227,8,723,14
