cell_position,x,y,number_of_cells,proportion_of_cell,mean_wind_speed,year,ID,cluster_id
3236,4535000,3045000,1,0.018765,21.403820037841797,1,9,11
4640,4275000,2825000,1,0.001881,20.15823745727539,1,14,11
4539,4565000,2845000,2,8.01e-4,19.55779266357422,1,30,11
3089,4365000,3065000,1,0.002403,20.908784866333008,1,34,11
4607,4595000,2835000,1,0.041508,20.79944229125977,1,37,11
4408,4555000,2865000,4,4.86e-4,21.883214950561523,1,42,11
4208,4505000,2895000,1,0.039177,18.29869842529297,1,43,11
3097,4445000,3065000,3,0.007416,20.047821044921875,1,47,11
3320,4075000,3025000,1,0.042012,18.613216400146484,1,56,11
4709,4315000,2815000,3,0.00306,19.826072692871097,1,61,11
4411,4585000,2865000,3,0.071559,20.0852108001709,1,70,11
2377,4395000,3175000,1,0.02871,22.37855529785156,1,71,11
4472,4545000,2855000,1,7.83e-4,21.212421417236328,1,76,11
4963,4255000,2775000,1,0.003789,20.394699096679688,1,80,11
4697,4195000,2815000,1,0.074061,18.475894927978516,1,94,11
4759,4165000,2805000,1,0.002124,21.279598236083984,2,114,11
2443,4405000,3165000,1,0.001728,19.54853248596191,2,115,11
4762,4195000,2805000,2,0.009,20.879514694213867,2,147,11
4581,4335000,2835000,1,0.00297,22.37855529785156,2,152,11
2616,4185000,3135000,1,0.049185,18.68525505065918,2,184,11
4579,4315000,2835000,5,0.022185,20.94588851928711,2,202,11
2612,4145000,3135000,2,0.00522,20.42656707763672,3,206,11
3357,4445000,3025000,1,0.047916,18.379810333251953,3,208,11
4644,4315000,2825000,1,0.024858,19.53083038330078,3,217,11
3165,4475000,3055000,1,7.92e-4,18.906518936157227,3,222,11
2308,4355000,3185000,1,0.021942,19.594587326049805,3,223,11
4607,4595000,2835000,1,0.002664,18.6931095123291,3,233,11
3097,4445000,3065000,1,2.88e-4,19.258115768432617,3,239,11
4450,4325000,2855000,1,0.001161,20.523914337158203,3,246,11
3006,4185000,3075000,2,0.085122,21.56278610229492,3,248,11
3155,4375000,3055000,1,5.13e-4,20.454172134399418,3,253,11
2620,4225000,3135000,47,0.006408,20.685293197631836,3,264,11
4146,4535000,2905000,1,0.010404,19.33637046813965,3,270,11
4206,4485000,2895000,1,7.02e-4,19.21880149841309,3,279,11
2443,4405000,3165000,2,0.003753,19.706539154052734,3,298,11
4768,4255000,2805000,2,0.014895,20.28304672241211,3,318,11
4209,4515000,2895000,1,7.74e-4,19.117828369140625,3,332,11
4542,4595000,2845000,3,0.001287,17.876617431640625,4,362,11
2684,4215000,3125000,1,0.066438,19.60586166381836,4,370,11
2685,4225000,3125000,1,0.00855,21.279598236083984,4,373,11
3450,4075000,3005000,2,0.005634,19.91556167602539,4,376,11
4705,4275000,2815000,1,0.003798,18.81094741821289,4,383,11
2813,4205000,3105000,1,0.007632,19.25687026977539,4,394,11
2377,4395000,3175000,1,0.045369,20.57826232910156,4,403,11
2617,4195000,3135000,2,0.002142,20.09931755065918,4,432,11
4207,4495000,2895000,3,0.006129,20.51020622253418,4,436,11
4538,4555000,2845000,1,0.002565,18.56844139099121,4,443,11
3089,4365000,3065000,3,0.016623,19.86322784423828,4,455,11
4279,4565000,2885000,1,0.0018,20.55341911315918,4,462,11
5152,4195000,2745000,1,0.002016,18.55309295654297,4,478,11
3126,4085000,3055000,1,0.0027,18.96282386779785,4,480,11
2957,4345000,3085000,1,0.021942,19.347576141357425,5,485,11
4696,4185000,2815000,1,0.004428,20.352075576782227,5,488,11
4567,4195000,2835000,1,0.001971,18.76630973815918,5,500,11
4825,4175000,2795000,1,0.003105,22.11412811279297,5,504,11
2556,4235000,3145000,1,0.00144,19.65129852294922,5,506,11
5213,4155000,2735000,1,0.027513,20.064186096191406,5,511,11
3156,4385000,3055000,4,0.010881,19.724807739257812,5,513,11
3157,4395000,3055000,7,0.011439,21.846031188964844,5,514,11
2486,4185000,3155000,1,0.004473,20.699485778808594,5,515,11
3160,4425000,3055000,1,9.45e-4,21.52071762084961,5,529,11
3044,4565000,3075000,1,0.0468,18.6699275970459,5,532,11
2810,4175000,3105000,3,0.012267,20.07421875,6,542,11
4580,4325000,2835000,2,0.003123,20.660900115966797,6,550,11
3319,4065000,3025000,8,0.001647,23.305973052978516,6,555,11
2242,4345000,3195000,1,0.001386,18.39134407043457,6,560,11
5151,4185000,2745000,1,0.044928,20.09931755065918,6,571,11
2439,4365000,3165000,1,5.94e-4,17.984638214111328,7,597,11
2680,4175000,3125000,49,0.006534,21.70339584350586,7,601,11
5151,4185000,2745000,2,0.001998,19.291040420532227,7,603,11
3489,4465000,3005000,2,0.004365,19.12455940246582,7,605,11
2681,4185000,3125000,1,3.24e-4,20.65996742248535,7,613,11
4763,4205000,2805000,1,0.041526,18.70592498779297,7,614,11
4212,4545000,2895000,1,0.027009,19.07442283630371,7,625,11
4515,4325000,2845000,1,0.001629,19.85211181640625,7,627,11
3161,4435000,3055000,3,0.021078,19.73700714111328,7,640,11
4899,4265000,2785000,1,0.003267,18.262739181518555,7,641,11
4437,4195000,2855000,1,2.43e-4,20.277238845825195,7,660,11
5152,4195000,2745000,1,0.007452,18.859867095947266,7,674,11
3358,4455000,3025000,1,5.94e-4,20.23679542541504,7,676,11
4209,4515000,2895000,1,0.018549,20.800682067871097,8,693,11
2876,4185000,3095000,3,0.154278,19.12127113342285,8,694,11
4477,4595000,2855000,1,0.048393,20.13872337341309,8,708,11
4451,4335000,2855000,1,0.006984,19.108068466186523,8,712,11
3384,4065000,3015000,1,0.060273,20.018966674804688,8,714,11
5020,4175000,2765000,1,0.00171,18.43221092224121,8,718,11
2554,4215000,3145000,1,0.021861,20.128549575805664,8,742,11
3684,4465000,2975000,4,0.007353,19.415142059326172,8,755,11
4892,4195000,2785000,1,0.001719,18.775182723999023,9,777,11
4514,4315000,2845000,1,0.019044,19.735231399536133,9,789,11
4412,4595000,2865000,2,1.17e-4,18.66697883605957,10,798,11
4274,4515000,2885000,2,7.02e-4,18.21961975097656,10,814,11
2976,4535000,3085000,1,0.009774,19.23047637939453,10,824,11
4569,4215000,2835000,1,0.016119,19.803537368774418,10,832,11
3235,4525000,3045000,1,4.05e-4,18.95539093017578,10,834,11
2311,4385000,3185000,3,0.003258,18.72574806213379,10,835,11
2618,4205000,3135000,2,9.27e-4,20.115324020385746,10,841,11
4409,4565000,2865000,1,9.63e-4,17.818553924560547,10,845,11
2979,4565000,3085000,1,0.010161,19.279905319213867,10,846,11
3226,4435000,3045000,3,0.028575,20.23084259033203,10,857,11
2940,4175000,3085000,1,5.04e-4,20.280630111694336,10,859,11
3292,4445000,3035000,1,0.005949,20.55082130432129,10,880,11
5019,4165000,2765000,3,0.007641,20.660900115966797,10,888,11
4147,4545000,2905000,1,0.087183,18.49439239501953,10,893,11
3448,4055000,3005000,1,0.002853,20.755186080932617,10,922,11
3005,4175000,3075000,1,0.067977,20.376140594482425,10,936,11
4578,4305000,2835000,1,7.74e-4,19.80781936645508,10,938,11
2744,4165000,3115000,3,4.23e-4,18.477989196777344,11,942,11
3006,4185000,3075000,1,0.006642,18.940505981445312,11,943,11
3124,4065000,3055000,1,0.004599,18.51386260986328,11,950,11
3044,4565000,3075000,1,0.008055,21.340463638305664,11,981,11
4826,4185000,2795000,5,2.97e-4,20.0623779296875,11,993,11
3236,4535000,3045000,26,0.011034,20.42028045654297,11,1000,11
4640,4275000,2825000,1,0.005544,21.015838623046875,11,1005,11
3223,4405000,3045000,15,9.45e-4,19.88991355895996,11,1020,11
2876,4185000,3095000,11,0.007407,20.308395385742188,11,1022,11
3226,4435000,3045000,3,2.52e-4,18.411582946777344,11,1025,11
3224,4415000,3045000,4,0.044928,20.022563934326172,11,1028,11
4963,4255000,2775000,1,0.021015,20.635284423828125,12,1054,11
2440,4375000,3165000,1,0.003537,20.52986717224121,12,1064,11
4514,4315000,2845000,1,0.003573,22.285301208496097,12,1078,11
2492,4245000,3155000,1,0.002664,19.083269119262695,13,1088,11
4147,4545000,2905000,25,0.068553,18.261371612548828,13,1095,11
2877,4195000,3095000,1,0.001827,18.920154571533203,13,1109,11
4642,4295000,2825000,1,0.012222,19.808361053466797,13,1111,11
4696,4185000,2815000,1,0.007659,20.10521125793457,14,1121,11
2809,4165000,3105000,1,0.031131,20.87149429321289,14,1135,11
4505,4225000,2845000,2,0.017307,19.20714950561523,14,1147,11
3169,4515000,3055000,1,0.002691,21.63306999206543,14,1158,11
4539,4565000,2845000,1,0.021582,21.2485408782959,14,1174,11
2677,4145000,3125000,2,0.001746,19.12069320678711,14,1175,11
2813,4205000,3105000,1,0.02916,19.588550567626953,14,1189,11
