cell_position,x,y,number_of_cells,proportion_of_cell,mean_wind_speed,year,ID,cluster_id
4958,4205000,2775000,1,0.037062,20.39887046813965,1,4,11
4891,4185000,2785000,1,0.002772,20.86279296875,1,8,11
4696,4185000,2815000,1,0.008946,18.62282371520996,1,12,11
2912,4545000,3095000,1,0.001818,20.40923118591309,1,14,11
4540,4575000,2845000,1,0.038286,18.428787231445312,1,20,11
4452,4345000,2855000,8,0.018423,20.504526138305664,1,25,11
3191,4085000,3045000,2,0.004446,20.299945831298828,1,38,11
5090,4225000,2755000,1,0.006084,20.63587760925293,1,44,11
2681,4185000,3125000,4,7.02e-4,20.69538116455078,1,50,11
3513,4055000,2995000,1,0.004815,18.67889976501465,1,51,11
5087,4195000,2755000,3,0.022482,19.091205596923828,1,65,11
5151,4185000,2745000,1,0.002781,20.98680877685547,1,70,11
4343,4555000,2875000,1,3.42e-4,20.354671478271484,1,82,11
3102,4495000,3065000,2,0.00729,19.325023651123047,1,107,11
4641,4285000,2825000,1,1.17e-4,18.15608787536621,1,113,11
3159,4415000,3055000,2,0.031059,19.20594787597656,2,131,11
3109,4565000,3065000,1,0.004158,19.462181091308594,3,172,11
3005,4175000,3075000,1,0.003357,19.68837547302246,3,174,11
4898,4255000,2785000,2,9.45e-4,18.567543029785156,3,184,11
2982,4595000,3085000,3,0.092412,20.6627254486084,3,193,11
2876,4185000,3095000,1,0.002475,20.355453491210938,3,201,11
4514,4315000,2845000,1,2.34e-4,20.19544792175293,3,209,11
3487,4445000,3005000,1,0.027972,21.338048934936523,3,215,11
2812,4195000,3105000,1,0.001647,19.656221389770508,3,242,11
4477,4595000,2855000,1,0.001593,17.323583602905273,3,247,11
3044,4565000,3075000,2,0.096165,20.16478157043457,3,250,11
2957,4345000,3085000,2,0.001089,20.011308670043945,3,264,11
2978,4555000,3085000,2,0.001305,17.475278854370117,3,269,11
4897,4245000,2785000,1,0.001737,18.92510032653809,4,277,11
3234,4515000,3045000,6,0.011817,19.491918563842773,4,282,11
2444,4415000,3165000,2,3.33e-4,19.913379669189453,4,294,11
4211,4535000,2895000,1,5.85e-4,20.519512176513672,4,297,11
2614,4165000,3135000,1,0.007416,19.309566497802734,4,308,11
3420,4425000,3015000,1,0.020826,18.455793380737305,4,309,11
3226,4435000,3045000,1,0.004842,21.968503952026367,4,323,11
3554,4465000,2995000,1,0.051588,19.72406005859375,4,338,11
4504,4215000,2845000,1,0.002205,18.38806533813477,4,361,11
4472,4545000,2855000,1,0.006957,20.879077911376953,5,406,11
2549,4165000,3145000,1,0.003006,18.618736267089844,5,412,11
3297,4495000,3035000,1,1.8e-4,20.101539611816406,5,413,11
3100,4475000,3065000,1,0.007965,18.558746337890625,5,425,11
3106,4535000,3065000,1,0.005544,21.488903045654297,5,432,11
3228,4455000,3045000,2,0.003699,19.02914047241211,5,434,11
3158,4405000,3055000,3,0.019944,20.39573097229004,6,443,11
3357,4445000,3025000,1,0.072621,19.005258560180664,6,447,11
2748,4205000,3115000,1,0.027693,18.223957061767575,6,472,11
3104,4515000,3065000,3,0.001863,20.697021484375,6,477,11
3421,4435000,3015000,2,0.031131,17.978057861328125,7,489,11
4760,4175000,2805000,1,0.003339,20.366191864013672,7,495,11
3490,4475000,3005000,2,0.002565,20.51721954345703,7,497,11
3512,4045000,2995000,1,0.003546,21.933948516845703,7,500,11
