cell_position,x,y,number_of_cells,proportion_of_cell,mean_wind_speed,year,ID,cluster_id
4575,4275000,2835000,1,0.006642,19.95429229736328,1,11,14
3483,4405000,3005000,1,0.00117,19.643085479736328,1,13,14
3995,4325000,2925000,1,0.004005,19.79781913757324,1,18,14
3031,4435000,3075000,1,0.012357,19.017845153808594,1,20,14
4385,4325000,2865000,1,0.010035,20.07917594909668,1,23,14
3092,4395000,3065000,1,0.007587,19.090219497680664,1,43,14
4377,4245000,2865000,1,0.00567,19.573278427124023,1,54,14
3547,4395000,2995000,1,0.002997,19.469335556030273,1,60,14
3740,4375000,2965000,3,0.016488,20.307241439819336,1,73,14
4384,4315000,2865000,7,0.013167,20.057119369506836,1,76,14
4381,4285000,2865000,3,0.003033,17.890907287597656,1,80,14
4195,4375000,2895000,3,0.004545,18.71650505065918,1,81,14
4191,4335000,2895000,1,0.01881,20.154048919677734,1,82,14
4004,4415000,2925000,2,0.016182,20.471960067749023,1,91,14
3992,4295000,2925000,1,0.003249,19.142396926879883,1,96,14
3029,4415000,3075000,2,4.95e-4,20.20486640930176,1,99,14
2911,4535000,3095000,1,0.001881,20.71650505065918,2,119,14
4121,4285000,2905000,1,0.002142,20.669235229492188,2,124,14
4461,4435000,2855000,7,0.004761,21.848264694213867,2,136,14
3479,4365000,3005000,1,0.021627,18.314592361450195,2,140,14
4180,4225000,2895000,1,0.014319,17.587379455566406,2,164,14
4199,4415000,2895000,1,0.025155,19.48421287536621,2,165,14
4508,4255000,2845000,1,0.005643,18.677125930786133,2,167,14
3022,4345000,3075000,1,0.002493,19.826875686645508,2,169,14
4256,4335000,2885000,1,0.014976,18.533409118652344,2,170,14
4312,4245000,2875000,10,0.021231,20.462749481201172,2,174,14
4318,4305000,2875000,1,6.57e-4,19.339609146118164,2,175,14
3997,4345000,2925000,1,0.001485,20.948759078979492,2,181,14
3676,4385000,2975000,1,0.001143,18.524250030517575,2,204,14
4181,4235000,2895000,1,0.006822,20.33371925354004,2,213,14
4389,4365000,2865000,1,0.001269,19.836891174316406,2,218,14
3539,4315000,2995000,1,0.00378,18.340181350708008,2,222,14
3484,4415000,3005000,2,0.089406,19.503650665283203,2,223,14
3096,4435000,3065000,1,0.002952,22.262441635131836,2,236,14
4519,4365000,2845000,1,4.32e-4,19.704357147216797,2,241,14
4398,4455000,2865000,1,1.8e-4,18.86032485961914,2,243,14
3094,4415000,3065000,2,0.001908,20.14457130432129,2,252,14
3670,4325000,2975000,1,0.068778,19.900657653808594,2,256,14
3550,4425000,2995000,1,0.007038,18.316011428833008,2,261,14
4262,4395000,2885000,1,0.059553,20.644601821899418,2,268,14
2960,4375000,3085000,1,0.00477,19.71308135986328,2,269,14
3928,4305000,2935000,1,0.00432,22.433958053588867,3,278,14
4646,4335000,2825000,1,0.003969,18.554521560668945,3,280,14
4460,4425000,2855000,1,0.028233,18.360851287841797,3,321,14
4513,4305000,2845000,1,0.005724,18.923572540283203,3,325,14
4326,4385000,2875000,1,0.022149,19.268949508666992,3,334,14
4448,4305000,2855000,1,0.009765,19.190393447875977,3,336,14
4065,4375000,2915000,4,3.42e-4,18.578304290771484,3,343,14
4133,4405000,2905000,1,0.001782,19.57950782775879,3,348,14
4062,4345000,2915000,1,0.040608,19.23047637939453,3,358,14
3670,4325000,2975000,1,0.003069,23.492948532104492,3,363,14
4379,4265000,2865000,1,0.001152,19.99636459350586,3,371,14
4263,4405000,2885000,1,0.001377,20.112062454223633,3,374,14
2975,4525000,3085000,1,0.020871,20.31881523132324,3,380,14
3413,4355000,3015000,2,7.02e-4,19.448545455932617,3,381,14
3414,4365000,3015000,1,0.002943,19.82632827758789,4,398,14
4133,4405000,2905000,1,0.004374,19.19192123413086,4,399,14
3747,4445000,2965000,2,0.014058,20.131242752075195,4,409,14
3806,4385000,2955000,2,4.77e-4,18.800762176513672,4,410,14
4197,4395000,2895000,2,0.001323,19.74696159362793,4,415,14
4134,4415000,2905000,1,0.008136,19.887866973876953,4,417,14
3606,4335000,2985000,1,9.27e-4,18.95539093017578,4,418,14
4006,4435000,2925000,1,4.77e-4,21.958599090576172,4,421,14
4636,4235000,2825000,1,0.015435,20.515220642089844,4,442,14
4054,4265000,2915000,1,0.032967,23.97228622436523,4,447,14
