cell_position,x,y,number_of_cells,proportion_of_cell,mean_wind_speed,year,ID,cluster_id
2710,4475000,3125000,7,2.97e-4,21.26182746887207,1,40,5
2777,4495000,3115000,1,9.54e-4,21.34334945678711,1,61,5
2186,4435000,3205000,1,0.002169,19.48017120361328,1,83,5
2776,4485000,3115000,1,0.004347,20.639760971069336,1,97,5
2382,4445000,3175000,1,4.5e-4,20.21378517150879,2,127,5
2251,4435000,3195000,1,0.009846,20.313983917236328,2,130,5
2448,4455000,3165000,1,6.03e-4,18.331201553344727,2,208,5
2315,4425000,3185000,1,0.011556,22.41533660888672,2,263,5
2776,4485000,3115000,2,0.00477,18.074817657470703,3,366,5
2315,4425000,3185000,1,0.010404,17.413955688476562,3,390,5
2774,4465000,3115000,1,0.048816,20.918439865112305,4,434,5
2645,4475000,3135000,3,0.001548,18.65799331665039,4,492,5
2580,4475000,3145000,1,0.018621,19.091205596923828,5,555,5
2447,4445000,3165000,2,0.003168,19.356929779052734,5,575,5
2774,4465000,3115000,1,0.003411,19.81108283996582,5,588,5
2777,4495000,3115000,1,0.016668,21.26182746887207,5,615,5
2515,4475000,3155000,1,0.002007,18.5657958984375,7,738,5
2185,4425000,3205000,1,8.55e-4,20.329954147338867,9,833,5
2648,4505000,3135000,3,0.005238,19.127620697021484,10,907,5
2054,4415000,3225000,3,0.002763,17.90395164489746,11,1023,5
1988,4405000,3235000,5,0.014481,20.7695255279541,11,1035,5
2512,4445000,3155000,1,0.052578,19.664615631103516,11,1074,5
2382,4445000,3175000,1,0.07308,18.397851943969727,16,1371,5
2446,4435000,3165000,1,0.029331,20.38761329650879,17,1436,5
2252,4445000,3195000,1,0.040644,20.514787673950195,17,1451,5
2777,4495000,3115000,3,0.042831,23.935501098632812,17,1453,5
2580,4475000,3145000,1,0.009531,20.19568252563477,17,1462,5
2184,4415000,3205000,1,0.010089,19.20954132080078,17,1465,5
2450,4475000,3165000,1,0.001512,19.430288314819336,17,1470,5
2648,4505000,3135000,1,0.004815,20.322355270385746,19,1555,5
2247,4395000,3195000,2,6.84e-4,18.79468536376953,19,1565,5
2645,4475000,3135000,1,0.002475,19.581571578979492,19,1583,5
2246,4385000,3195000,2,0.005211,20.24663734436035,20,1679,5
2316,4435000,3185000,1,0.021861,20.789119720458984,21,1704,5
2055,4425000,3225000,2,0.004653,19.54479217529297,22,1765,5
2643,4455000,3135000,1,0.001728,18.942598342895508,22,1805,5
2182,4395000,3205000,1,0.010458,19.970041275024418,22,1823,5
2247,4395000,3195000,1,0.002304,19.97444725036621,23,1833,5
2450,4475000,3165000,1,0.002115,20.501840591430664,23,1848,5
2313,4405000,3185000,1,0.013293,20.07785987854004,23,1877,5
2319,4465000,3185000,4,0.004761,20.77240943908691,23,1881,5
2449,4465000,3165000,1,0.001809,20.711761474609375,25,1980,5
2642,4445000,3135000,7,3.51e-4,21.73334312438965,25,1982,5
2775,4475000,3115000,1,4.32e-4,18.298927307128903,26,1997,5
2515,4475000,3155000,2,0.074313,20.379785537719727,28,2084,5
2513,4455000,3155000,4,0.026793,20.214786529541016,29,2209,5
2381,4435000,3175000,1,0.005841,19.87204360961914,29,2213,5
2248,4405000,3195000,1,0.010071,18.714569091796875,31,2275,5
2580,4475000,3145000,1,9.81e-4,18.92914390563965,31,2353,5
2578,4455000,3145000,1,3.78e-4,19.661609649658203,32,2385,5
2316,4435000,3185000,2,0.067626,18.68108558654785,32,2442,5
2647,4495000,3135000,1,0.027648,20.822145462036133,32,2443,5
2121,4435000,3215000,1,0.00324,20.55341911315918,33,2550,5
2246,4385000,3195000,3,0.017604,20.81893539428711,33,2610,5
2381,4435000,3175000,1,2.79e-4,18.651161193847656,34,2618,5
2774,4465000,3115000,1,0.002439,19.367361068725582,34,2670,5
2248,4405000,3195000,1,0.012483,19.380348205566406,37,2842,5
2182,4395000,3205000,1,0.032022,21.077892303466797,37,2844,5
2183,4405000,3205000,6,0.004167,20.531024932861328,37,2909,5
2382,4445000,3175000,25,0.001179,19.80724334716797,37,2918,5
2577,4445000,3145000,2,0.00801,20.110864639282227,37,2940,5
2709,4465000,3125000,1,0.024741,19.03299903869629,37,2951,5
2183,4405000,3205000,1,0.025416,20.236804962158203,38,3051,5
2183,4405000,3205000,1,0.003141,20.51677703857422,39,3192,5
2511,4435000,3155000,1,0.030591,20.634063720703125,39,3196,5
2316,4435000,3185000,1,0.005706,19.625564575195312,40,3264,5
2643,4455000,3135000,1,0.00729,18.135269165039062,42,3338,5
2774,4465000,3115000,1,0.074115,19.64279556274414,42,3388,5
2446,4435000,3165000,4,0.002997,18.676239013671875,42,3394,5
2709,4465000,3125000,2,0.019062,20.932004928588867,44,3486,5
2708,4455000,3125000,19,3.96e-4,20.661941528320312,44,3492,5
2647,4495000,3135000,2,0.005085,18.634765625,44,3501,5
1988,4405000,3235000,4,0.028323,18.904748916625977,44,3512,5
2648,4505000,3135000,1,0.004131,19.625564575195312,45,3561,5
2312,4395000,3185000,1,4.59e-4,18.71650505065918,46,3626,5
2252,4445000,3195000,2,0.021798,19.315723419189453,48,3699,5
2578,4455000,3145000,2,0.020745,18.082475662231445,48,3753,5
2579,4465000,3145000,1,0.001647,19.41852378845215,51,3874,5
2312,4395000,3185000,3,0.033633,21.009061813354492,51,3888,5
2648,4505000,3135000,2,0.003852,20.463348388671875,52,4107,5
2313,4405000,3185000,1,0.04185,21.407569885253903,52,4141,5
2383,4455000,3175000,2,0.015561,19.981788635253903,54,4206,5
2516,4485000,3155000,1,9.63e-4,18.33320426940918,56,4322,5
2774,4465000,3115000,1,0.012447,21.639854431152344,56,4351,5
2642,4445000,3135000,3,6.03e-4,20.8080997467041,56,4369,5
2775,4475000,3115000,1,0.001098,19.217557907104492,57,4413,5
2711,4485000,3125000,1,0.010998,20.525659561157227,57,4424,5
2576,4435000,3145000,1,2.61e-4,18.290437698364254,57,4445,5
2712,4495000,3125000,3,0.014958,18.89719009399414,57,4504,5
2577,4445000,3145000,1,6.3e-4,18.538537979125977,57,4506,5
2774,4465000,3115000,1,0.0126,20.105709075927734,58,4542,5
2647,4495000,3135000,1,0.007353,21.318191528320312,58,4583,5
2249,4415000,3195000,27,0.020871,21.155532836914062,60,4698,5
2383,4455000,3175000,1,0.072621,18.56028938293457,60,4706,5
2513,4455000,3155000,1,0.018261,18.967700958251953,60,4713,5
2381,4435000,3175000,1,0.002313,19.54479217529297,61,4756,5
2182,4395000,3205000,8,0.004266,18.45241355895996,61,4761,5
2580,4475000,3145000,1,6.12e-4,19.27908515930176,62,4841,5
2312,4395000,3185000,3,0.023679,23.758880615234375,64,4995,5
2381,4435000,3175000,4,0.003375,19.90248107910156,65,5061,5
2643,4455000,3135000,2,0.015849,18.34567070007324,66,5108,5
2712,4495000,3125000,1,0.009099,19.38920211791992,66,5127,5
2312,4395000,3185000,1,0.001827,17.252918243408203,66,5135,5
2513,4455000,3155000,8,0.034749,18.73931121826172,67,5161,5
2708,4455000,3125000,1,0.003249,18.55593490600586,68,5371,5
1989,4415000,3235000,1,0.004275,19.91556167602539,68,5376,5
2448,4455000,3165000,4,8.55e-4,18.64832305908203,70,5434,5
2647,4495000,3135000,1,0.005346,20.879077911376953,70,5444,5
2317,4445000,3185000,1,0.001629,20.930421829223633,70,5473,5
2580,4475000,3145000,3,8.91e-4,19.19188117980957,70,5537,5
2576,4435000,3145000,1,0.002124,20.61924934387207,70,5569,5
2184,4415000,3205000,3,0.007434,22.007518768310547,71,5612,5
2581,4485000,3145000,1,5.94e-4,19.91510772705078,71,5686,5
2580,4475000,3145000,1,0.039987,19.975326538085938,72,5757,5
2450,4475000,3165000,2,0.002304,19.001611709594727,72,5765,5
2120,4425000,3215000,11,0.0018,19.99769401550293,73,5882,5
2708,4455000,3125000,1,0.013482,20.314685821533203,73,5907,5
2054,4415000,3225000,1,7.2e-4,21.031009674072266,73,5997,5
2316,4435000,3185000,1,0.002295,20.19830894470215,74,6027,5
2448,4455000,3165000,4,0.036891,18.800762176513672,74,6030,5
2312,4395000,3185000,1,0.006507,17.485652923583984,74,6041,5
1988,4405000,3235000,1,0.003258,18.54546546936035,74,6054,5
2708,4455000,3125000,1,0.008136,21.279598236083984,77,6288,5
2252,4445000,3195000,1,0.037701,18.69936752319336,77,6351,5
2512,4445000,3155000,2,0.005193,18.94438934326172,78,6408,5
2316,4435000,3185000,1,0.067527,19.18660545349121,78,6412,5
2314,4415000,3185000,1,0.029628,19.963306427001953,79,6457,5
2647,4495000,3135000,1,0.03222,18.86236000061035,80,6517,5
2312,4395000,3185000,6,2.43e-4,19.51233673095703,80,6563,5
2315,4425000,3185000,1,0.021924,20.57914924621582,81,6573,5
2644,4465000,3135000,1,2.61e-4,18.41558074951172,81,6574,5
2384,4465000,3175000,1,4.77e-4,21.137975692749023,81,6613,5
2776,4485000,3115000,1,0.061767,20.342947006225582,82,6626,5
2645,4475000,3135000,1,9.9e-4,20.063575744628903,82,6671,5
2513,4455000,3155000,1,0.003339,19.369903564453125,84,6730,5
2184,4415000,3205000,1,3.96e-4,20.08133316040039,84,6816,5
2381,4435000,3175000,1,0.001359,18.87810707092285,84,6847,5
2120,4425000,3215000,1,0.007461,19.006298065185547,84,6851,5
2708,4455000,3125000,1,0.008244,19.542707443237305,85,6912,5
2647,4495000,3135000,1,0.137421,20.406484603881836,86,6996,5
2775,4475000,3115000,2,0.034524,17.82987403869629,87,7063,5
2642,4445000,3135000,1,0.003249,19.403614044189453,87,7073,5
2645,4475000,3135000,5,0.014643,19.309566497802734,87,7110,5
2384,4465000,3175000,1,4.5e-4,20.214786529541016,89,7190,5
2185,4425000,3205000,3,0.00225,17.90193748474121,89,7195,5
2315,4425000,3185000,29,0.060273,20.95285987854004,89,7224,5
2384,4465000,3175000,1,2.79e-4,17.533891677856445,90,7287,5
2576,4435000,3145000,1,0.016425,18.93282890319824,90,7326,5
