cell_position,x,y,number_of_cells,proportion_of_cell,mean_wind_speed,year,ID,cluster_id
626,4435000,3445000,47,0.024192,21.41213035583496,1,4,4
1007,4345000,3385000,2,0.062055,19.48406982421875,1,7,4
1322,4245000,3335000,1,0.029664,18.628747940063477,1,8,4
1205,4375000,3355000,1,6.3e-4,20.063575744628903,1,10,4
1833,4155000,3255000,1,0.001701,20.587852478027344,1,17,4
810,4325000,3415000,2,0.043119,19.416603088378903,1,19,4
1136,4335000,3365000,1,0.012654,19.667705535888672,1,21,4
1581,4235000,3295000,1,0.00522,17.802371978759766,1,22,4
1963,4155000,3235000,1,0.010404,18.79994010925293,1,27,4
942,4345000,3395000,1,9.63e-4,19.117996215820312,1,36,4
376,4535000,3485000,1,0.024858,21.015838623046875,1,38,4
1326,4285000,3335000,1,0.014211,20.96725273132324,1,45,4
491,4385000,3465000,1,0.008118,20.97447204589844,1,50,4
876,4335000,3405000,4,0.003123,19.41423988342285,1,53,4
1659,4365000,3285000,2,0.042399,20.87270736694336,1,55,4
1336,4385000,3335000,1,4.59e-4,20.83068466186523,1,77,4
1269,4365000,3345000,6,0.003825,19.00802993774414,1,78,4
1781,4285000,3265000,4,0.004383,19.80616569519043,1,84,4
619,4365000,3445000,2,6.75e-4,18.262449264526367,1,92,4
551,4335000,3455000,1,0.001881,20.86163902282715,1,103,4
1117,4145000,3365000,3,0.004095,19.690773010253903,2,117,4
2347,4095000,3175000,1,9.45e-4,18.96282386779785,2,118,4
1714,4265000,3275000,1,0.003483,20.661895751953125,2,120,4
812,4345000,3415000,1,0.005355,19.695709228515625,2,132,4
488,4355000,3465000,1,0.004248,18.29204559326172,2,138,4
1444,4165000,3315000,2,3.24e-4,20.591320037841797,2,142,4
1580,4225000,3295000,1,7.38e-4,20.442543029785156,2,145,4
1071,4335000,3375000,1,0.004095,19.461631774902344,2,150,4
1200,4325000,3355000,1,0.01935,17.94597053527832,2,153,4
1206,4385000,3355000,1,0.046647,18.343067169189453,2,155,4
678,4305000,3435000,1,0.003834,20.462749481201172,2,156,4
1570,4125000,3295000,2,3.87e-4,19.25687026977539,2,157,4
1642,4195000,3285000,3,1.53e-4,17.70728302001953,2,163,4
1059,4215000,3375000,1,0.015435,18.720195770263672,2,179,4
1400,4375000,3325000,2,0.001494,18.41877555847168,2,183,4
943,4355000,3395000,4,0.01305,21.107261657714844,2,184,4
414,4265000,3475000,1,0.010764,21.279598236083984,2,197,4
870,4275000,3405000,1,0.033741,20.47107696533203,2,198,4
627,4445000,3445000,1,0.007578,20.205081939697266,2,200,4
613,4305000,3445000,8,0.035163,20.55082130432129,2,201,4
742,4295000,3425000,1,0.005274,21.338048934936523,2,206,4
1834,4165000,3255000,1,9.18e-4,19.454511642456055,2,207,4
1196,4285000,3355000,2,0.001161,17.984638214111328,2,215,4
868,4255000,3405000,2,0.032715,18.5513916015625,2,217,4
749,4365000,3425000,1,0.002142,18.550457000732425,2,220,4
1650,4275000,3285000,1,0.015786,19.20714950561523,2,224,4
156,4285000,3515000,1,0.001107,20.12471389770508,2,227,4
1717,4295000,3275000,1,0.028647,23.492948532104492,2,237,4
1122,4195000,3365000,3,0.049599,20.847396850585938,2,239,4
1248,4155000,3345000,2,0.002259,19.042125701904297,2,249,4
1380,4175000,3325000,1,2.25e-4,20.91120147705078,2,250,4
2031,4185000,3225000,2,3.78e-4,19.240894317626953,2,253,4
1698,4105000,3275000,2,0.001323,21.021514892578125,2,262,4
1521,4285000,3305000,1,2.79e-4,18.547595977783203,2,270,4
223,4305000,3505000,1,0.007065,20.770824432373047,3,282,4
1258,4255000,3345000,1,0.009558,18.648948669433594,3,289,4
1056,4185000,3375000,1,0.02367,20.228910446166992,3,291,4
488,4355000,3465000,1,5.94e-4,20.577327728271484,3,297,4
1722,4345000,3275000,1,8.37e-4,20.121334075927734,3,299,4
218,4255000,3505000,2,5.31e-4,20.33371925354004,3,302,4
550,4325000,3455000,1,0.035721,19.920101165771484,3,305,4
2224,4165000,3195000,1,0.008919,18.818111419677734,3,322,4
2296,4235000,3185000,5,0.005436,20.55376434326172,3,323,4
1777,4245000,3265000,1,1.44e-4,21.90968894958496,3,324,4
1574,4165000,3295000,5,0.007317,19.69407844543457,3,332,4
546,4285000,3455000,1,0.027315,20.3553409576416,3,340,4
1833,4155000,3255000,1,0.016164,22.262441635131836,3,344,4
1134,4315000,3365000,1,6.84e-4,19.41312599182129,3,345,4
2352,4145000,3175000,1,0.032634,20.558815002441406,3,351,4
870,4275000,3405000,1,0.007056,20.508066177368164,3,353,4
2351,4135000,3175000,1,0.005697,18.46139144897461,3,368,4
936,4285000,3395000,1,0.002376,20.033857345581055,3,369,4
1269,4365000,3345000,2,4.86e-4,20.442487716674805,3,385,4
627,4445000,3445000,1,0.017586,20.57219886779785,4,393,4
682,4345000,3435000,1,0.039501,20.2672176361084,4,397,4
1261,4285000,3345000,2,0.001062,22.10626220703125,4,403,4
1323,4255000,3335000,1,2.61e-4,19.591859817504883,4,431,4
1459,4315000,3315000,1,0.015849,23.451112747192383,4,436,4
2292,4195000,3185000,1,0.027972,18.86736488342285,4,440,4
1252,4195000,3345000,1,1.98e-4,20.919132232666016,4,444,4
