cell_position,x,y,number_of_cells,proportion_of_cell,mean_wind_speed,year,ID,cluster_id
220,4275000,3505000,1,0.008226,19.521310806274418,1,2,4
942,4345000,3395000,1,9.45e-4,19.23238754272461,1,6,4
613,4305000,3445000,9,0.028458,19.87155532836914,1,8,4
1268,4355000,3345000,3,0.037701,18.312183380126953,1,12,4
806,4285000,3415000,1,0.002376,21.488168716430664,1,18,4
1701,4135000,3275000,1,0.017757,20.40896224975586,1,29,4
1461,4335000,3315000,1,0.005778,19.975326538085938,1,31,4
1135,4325000,3365000,1,0.003033,21.90150451660156,1,45,4
1898,4155000,3245000,1,0.012906,19.81238174438477,1,60,4
1528,4355000,3305000,3,0.006507,18.122474670410156,1,64,4
1637,4145000,3285000,1,0.005715,18.975997924804688,1,69,4
543,4255000,3455000,1,0.012654,20.2672176361084,1,72,4
1338,4405000,3335000,1,0.0198,20.97447204589844,2,101,4
1594,4365000,3295000,1,0.003636,18.49439239501953,2,107,4
998,4255000,3385000,1,3.69e-4,18.14535903930664,2,109,4
1709,4215000,3275000,7,0.005526,18.289581298828125,2,111,4
1705,4175000,3275000,2,0.02304,20.678524017333984,2,129,4
1767,4145000,3265000,1,1.35e-4,18.235347747802734,2,131,4
817,4395000,3415000,1,0.002295,20.141578674316406,2,133,4
1640,4175000,3285000,15,0.053451,20.414165496826172,2,137,4
1188,4205000,3355000,39,6.3e-4,20.919960021972656,2,143,4
866,4235000,3405000,15,0.001746,19.045766830444336,2,153,4
220,4275000,3505000,3,0.077436,20.632728576660156,2,157,4
1404,4415000,3325000,2,0.067086,20.15984535217285,2,161,4
1784,4315000,3265000,3,1.98e-4,19.61191177368164,2,164,4
2478,4105000,3155000,3,0.054054,18.763113021850582,2,177,4
1005,4325000,3385000,1,0.002691,19.90248107910156,2,181,4
1459,4315000,3315000,8,0.116496,18.318021774291992,2,187,4
1842,4245000,3255000,4,4.23e-4,19.0457706451416,2,190,4
1376,4135000,3325000,1,8.01e-4,19.37407684326172,2,192,4
551,4335000,3455000,2,0.001836,18.314794540405273,2,195,4
676,4285000,3435000,1,0.010458,19.81537437438965,3,212,4
2287,4145000,3185000,1,0.015696,18.972166061401367,3,213,4
806,4285000,3415000,1,0.042093,18.269866943359375,3,214,4
2488,4205000,3155000,1,0.01359,20.71462059020996,3,219,4
2296,4235000,3185000,1,0.002772,18.49571990966797,3,220,4
1849,4315000,3255000,1,0.041274,19.349977493286133,3,224,4
1258,4255000,3345000,3,0.001782,19.482419967651367,3,226,4
1466,4385000,3315000,6,0.005022,22.12259101867676,3,228,4
943,4355000,3395000,1,0.001773,18.578304290771484,3,236,4
869,4265000,3405000,1,0.005355,18.56007957458496,3,244,4
1721,4335000,3275000,1,7.2e-5,20.820629119873047,3,267,4
1959,4115000,3235000,2,0.038034,17.876617431640625,3,268,4
2094,4165000,3215000,1,0.011781,20.895503997802734,3,286,4
223,4305000,3505000,1,0.003249,19.70820045471191,3,299,4
1654,4315000,3285000,8,9.9e-5,18.819414138793945,3,302,4
874,4315000,3405000,3,0.023013,20.199018478393555,3,303,4
