cell_position,x,y,number_of_cells,proportion_of_cell,mean_wind_speed,year,ID,cluster_id
2841,4485000,3105000,1,1.08e-4,19.170230865478516,1,2,13
2782,4545000,3115000,2,0.0468,20.143959045410156,1,32,13
2701,4385000,3125000,1,0.017847,19.32583999633789,1,46,13
2763,4355000,3115000,1,0.005454,20.845590591430664,1,58,13
2053,4405000,3225000,2,3.87e-4,20.80706214904785,1,59,13
4693,4155000,2815000,1,0.002655,20.005634307861328,1,62,13
2849,4565000,3105000,1,0.003267,20.891664505004883,1,87,13
2636,4385000,3135000,1,0.001206,19.808361053466797,1,98,13
2972,4495000,3085000,1,0.029079,20.064186096191406,1,101,13
2700,4375000,3125000,1,0.009045,20.8853702545166,1,110,13
4240,4175000,2885000,1,0.005436,18.393659591674805,2,123,13
3722,4195000,2965000,4,0.055089,18.870624542236328,2,148,13
3723,4205000,2965000,1,6.39e-4,21.12091636657715,2,166,13
3918,4205000,2935000,1239,0.027513,18.374677658081055,2,168,13
2726,4635000,3125000,2,0.004221,18.127445220947266,2,187,13
2587,4545000,3145000,1,0.022536,19.765316009521484,2,196,13
4823,4155000,2795000,30,0.169227,20.845861434936523,2,238,13
2793,4655000,3115000,1,0.011709,20.261205673217773,2,254,13
3657,4195000,2975000,2,0.002124,19.78023910522461,2,264,13
2707,4445000,3125000,1,4.68e-4,21.04386329650879,2,265,13
2834,4415000,3105000,1,0.013257,17.44593620300293,3,294,13
2908,4505000,3095000,3,0.006354,19.91835021972656,3,300,13
2507,4395000,3155000,1,0.048564,22.563446044921875,3,307,13
3593,4205000,2985000,1,0.017019,20.616191864013672,3,308,13
3400,4225000,3015000,2,0.025875,18.990211486816406,3,326,13
3035,4475000,3075000,2,0.005472,20.94588851928711,3,328,13
4113,4205000,2905000,2,0.023229,20.199018478393555,3,338,13
4048,4205000,2915000,5,0.002592,18.935705184936523,3,361,13
2728,4655000,3125000,4,0.011529,20.181753158569336,3,375,13
2702,4395000,3125000,1,0.003915,20.195510864257812,3,383,13
2961,4385000,3085000,1,0.010467,20.490015029907227,4,408,13
2713,4505000,3125000,1,0.026748,19.19188117980957,4,419,13
2722,4595000,3125000,1,0.008055,19.238859176635746,4,429,13
3205,4225000,3045000,1,0.012645,20.651277542114254,4,465,13
3788,4205000,2955000,2,4.77e-4,19.511240005493164,4,476,13
3918,4205000,2935000,1,0.01152,19.321447372436523,4,483,13
3724,4215000,2965000,1,0.020583,21.052814483642575,4,493,13
4758,4155000,2805000,1,0.016137,21.380693435668945,4,520,13
3661,4235000,2975000,3,0.003024,19.516357421875,5,563,13
2778,4505000,3115000,1,0.049194,21.368417739868164,5,578,13
2962,4395000,3085000,1,0.032382,19.033294677734375,5,589,13
2849,4565000,3105000,7,0.038016,20.88149070739746,5,603,13
2829,4365000,3105000,1,5.22e-4,19.96186065673828,5,609,13
2703,4405000,3125000,3,6.3e-4,21.5970401763916,5,637,13
2705,4425000,3125000,1,0.005175,18.228290557861328,5,639,13
2906,4485000,3095000,1,0.00612,18.755695343017575,5,640,13
2637,4395000,3135000,3,1.8e-4,19.26995086669922,5,664,13
2961,4385000,3085000,2,0.008037,20.430269241333008,5,665,13
4047,4195000,2915000,2,0.012726,18.664398193359375,5,680,13
2181,4385000,3205000,4,0.012186,19.32369613647461,6,714,13
2849,4565000,3105000,1,0.002574,21.040884017944336,7,753,13
5017,4145000,2765000,1,0.002952,17.69212532043457,7,755,13
3662,4245000,2975000,1,0.001341,18.357053756713867,7,770,13
2654,4565000,3135000,1,0.003807,20.289600372314453,7,772,13
2728,4655000,3125000,2,0.00594,19.391769409179688,7,787,13
4888,4155000,2785000,1,0.029169,18.755695343017575,8,795,13
2584,4515000,3145000,2,0.010764,22.1925106048584,8,820,13
3982,4195000,2925000,4,1.98e-4,20.418411254882812,9,827,13
2115,4375000,3215000,11,0.001494,19.56846809387207,9,854,13
2834,4415000,3105000,2,0.024129,20.03173828125,9,868,13
2908,4505000,3095000,1,0.001494,18.65553855895996,10,882,13
2180,4375000,3205000,1,0.001998,19.29561233520508,10,887,13
2972,4495000,3085000,1,0.009,21.914525985717773,10,888,13
2701,4385000,3125000,1,0.031689,20.462398529052734,10,902,13
2571,4385000,3145000,1,0.002718,21.958599090576172,10,924,13
3592,4195000,2985000,1,0.001845,21.55099868774414,10,927,13
3590,4175000,2985000,1,0.002754,19.9727783203125,10,972,13
2838,4455000,3105000,1,0.038898,19.993247985839844,10,976,13
2842,4495000,3105000,6,0.063135,19.468326568603516,11,1028,13
3718,4155000,2965000,1,0.035424,19.34139060974121,11,1033,13
3659,4215000,2975000,8,6.75e-4,21.953479766845703,11,1044,13
3593,4205000,2985000,1,0.004905,20.061676025390625,11,1049,13
2657,4595000,3135000,1,0.042084,18.5423526763916,12,1097,13
