cell_position,x,y,number_of_cells,proportion_of_cell,mean_wind_speed,year,ID,cluster_id
3863,4305000,2945000,1,0.001557,18.690507888793945,1,11,14
3739,4365000,2965000,8,0.004995,19.304229736328125,1,16,14
4575,4275000,2835000,2,6.3e-4,21.639854431152344,1,19,14
3096,4435000,3065000,1,5.13e-4,20.57826232910156,1,31,14
4053,4255000,2915000,1,0.011583,19.06824493408203,1,38,14
2910,4525000,3095000,1,0.002853,20.631696701049805,1,39,14
3874,4415000,2945000,1,0.003006,18.938711166381836,1,47,14
4190,4325000,2895000,1,0.002682,19.499052047729492,2,55,14
3875,4425000,2945000,2,0.010431,19.18559837341309,2,75,14
4193,4355000,2895000,1,0.004185,20.818531036376953,2,114,14
3606,4335000,2985000,6,0.074799,20.939098358154297,2,117,14
4139,4465000,2905000,1,0.005778,20.575090408325195,2,121,14
4334,4465000,2875000,2,0.034488,19.886919021606445,2,131,14
3350,4375000,3025000,4,0.014634,20.188886642456055,2,134,14
3927,4295000,2935000,1,0.006417,18.45220947265625,2,136,14
4519,4365000,2845000,2,0.002385,19.31881523132324,2,138,14
4261,4385000,2885000,1,0.08748,19.901939392089844,2,155,14
3682,4445000,2975000,2,0.079911,20.841079711914062,2,162,14
4382,4295000,2865000,1,0.013005,20.430269241333008,2,165,14
3542,4345000,2995000,1,0.071559,20.12659072875977,2,170,14
4120,4275000,2905000,5,0.040509,20.82385635375977,2,174,14
4573,4255000,2835000,1,0.09441,20.048328399658203,2,176,14
3348,4355000,3025000,3,0.004086,20.908784866333008,2,178,14
4118,4255000,2905000,1,0.004788,19.37615966796875,2,191,14
3614,4415000,2985000,1,0.025623,21.68950462341309,2,192,14
4456,4385000,2855000,1,0.077436,19.29934883117676,2,195,14
4328,4405000,2875000,1,0.018423,18.669506072998047,3,202,14
4704,4265000,2815000,2,0.008235,20.078388214111328,3,208,14
4262,4395000,2885000,1,0.002358,20.30431747436523,3,210,14
3549,4415000,2995000,16,0.011457,18.62004280090332,3,218,14
3667,4295000,2975000,6,0.03573,20.462749481201172,3,236,14
3801,4335000,2955000,3,1.89e-4,18.180797576904297,4,268,14
4395,4425000,2865000,2,0.002763,18.79675674438477,4,284,14
4186,4285000,2895000,1,0.023778,18.806394577026367,4,293,14
3092,4395000,3065000,1,0.011583,20.343076705932617,4,296,14
3992,4295000,2925000,2,3.96e-4,20.86163902282715,4,301,14
3285,4375000,3035000,1,0.042273,19.60184669494629,4,302,14
3927,4295000,2935000,4,0.011583,19.602293014526367,5,316,14
4391,4385000,2865000,1,2.52e-4,19.58343505859375,5,324,14
3677,4395000,2975000,3,0.00567,22.94119644165039,5,327,14
3350,4375000,3025000,3,0.005652,22.71944046020508,5,328,14
3093,4405000,3065000,7,0.002295,19.360395431518555,5,330,14
3540,4325000,2995000,1,0.133839,20.12659072875977,6,348,14
4068,4405000,2915000,1,0.009531,19.846729278564453,6,357,14
4182,4245000,2895000,3,0.007209,18.381450653076172,6,363,14
4638,4255000,2825000,1,0.004095,19.766279220581055,6,364,14
3033,4455000,3075000,1,0.016164,18.71641540527344,6,373,14
4121,4285000,2905000,1,6.21e-4,18.374650955200195,6,382,14
4074,4465000,2915000,1,0.013284,19.969676971435547,6,383,14
3030,4425000,3075000,1,0.034875,19.80220603942871,6,400,14
4122,4295000,2905000,2,0.019782,21.00373077392578,6,402,14
4139,4465000,2905000,1,0.007434,19.21880149841309,6,403,14
3806,4385000,2955000,1,2.88e-4,20.51020622253418,6,415,14
3994,4315000,2925000,1,0.13311,21.115262985229492,6,418,14
4460,4425000,2855000,2,0.004041,19.62932014465332,6,428,14
3809,4415000,2955000,6,0.021771,20.98318862915039,6,436,14
4377,4245000,2865000,3,0.004374,19.074756622314453,6,441,14
4198,4405000,2895000,8,0.004212,18.405860900878903,6,447,14
3606,4335000,2985000,1,0.014814,19.007673263549805,6,451,14
4444,4265000,2855000,1,2.34e-4,21.155532836914062,7,454,14
4249,4265000,2885000,1,0.006642,17.941232681274414,7,458,14
3809,4415000,2955000,1,0.06957,20.466142654418945,7,467,14
4583,4355000,2835000,1,0.003078,18.146060943603516,7,474,14
3808,4405000,2955000,1,7.83e-4,18.938411712646484,7,485,14
4000,4375000,2925000,2,1.35e-4,22.121118545532227,7,503,14
3542,4345000,2995000,3,0.00234,19.321447372436523,7,509,14
4453,4355000,2855000,2,0.001782,19.47441673278809,7,521,14
4764,4215000,2805000,1,0.002637,17.803056716918945,7,523,14
4319,4315000,2875000,4,0.035631,20.397499084472656,7,524,14
4831,4235000,2795000,1,0.022518,20.8094539642334,7,527,14
3028,4405000,3075000,1,0.001998,18.94785499572754,7,534,14
4191,4335000,2895000,1,0.05553,21.244874954223633,7,535,14
3927,4295000,2935000,1,0.003654,21.630407333374023,7,540,14
4134,4415000,2905000,1,0.01008,20.95285987854004,8,550,14
4315,4275000,2875000,1,0.002259,20.193159103393555,8,560,14
4065,4375000,2915000,1,0.041283,19.916324615478516,8,563,14
4309,4215000,2875000,1,0.002358,19.485675811767575,8,568,14
3742,4395000,2965000,1,3.51e-4,21.5970401763916,8,574,14
3994,4315000,2925000,3,0.011763,19.95558738708496,9,596,14
3609,4365000,2985000,7,1.8e-4,20.591320037841797,9,609,14
2910,4525000,3095000,4,0.034488,19.5620059967041,9,611,14
3733,4305000,2965000,1,0.001629,19.090219497680664,9,626,14
3039,4515000,3075000,1,1.17e-4,17.533891677856445,9,628,14
3548,4405000,2995000,1,0.003978,17.543289184570312,9,637,14
3676,4385000,2975000,1,0.007281,18.94785499572754,9,649,14
4582,4345000,2835000,1,0.004185,18.47651481628418,9,651,14
4204,4465000,2895000,2,0.048393,20.439912796020508,9,655,14
4117,4245000,2905000,1,0.00783,22.475662231445312,9,657,14
3677,4395000,2975000,3,0.001332,20.463340759277344,9,659,14
4380,4275000,2865000,1,0.035424,18.210983276367188,9,660,14
3675,4375000,2975000,12,0.004707,20.218185424804688,9,661,14
4442,4245000,2855000,1,0.051588,19.65614128112793,9,662,14
4574,4265000,2835000,2,0.004941,17.911651611328125,9,670,14
3219,4365000,3045000,3,5.85e-4,20.189882278442383,9,679,14
3478,4355000,3005000,1,0.001377,19.600248336791992,9,688,14
4635,4225000,2825000,3,0.001764,19.8775691986084,9,698,14
3616,4435000,2985000,1,0.001251,20.703004837036133,9,704,14
4116,4235000,2905000,1,0.001071,20.91120147705078,10,712,14
3540,4325000,2995000,3,0.004995,18.83900260925293,10,717,14
4454,4365000,2855000,1,0.001368,20.232643127441406,10,719,14
3940,4425000,2935000,1,0.010692,18.14535903930664,10,722,14
3735,4325000,2965000,2,1.98e-4,19.687231063842773,10,732,14
4319,4315000,2875000,1,0.038007,19.647239685058594,10,737,14
4136,4435000,2905000,3,0.006039,20.685970306396484,10,738,14
4379,4265000,2865000,2,0.00225,18.48032569885254,10,748,14
4391,4385000,2865000,3,0.012717,20.10991096496582,11,749,14
4248,4255000,2885000,4,0.046827,19.351293563842773,11,753,14
4134,4415000,2905000,1,0.001755,18.59125709533691,11,754,14
4133,4405000,2905000,1,0.001062,18.87788963317871,11,761,14
4182,4245000,2895000,1,0.014472,20.72406768798828,11,766,14
3673,4355000,2975000,1,8.28e-4,19.018884658813477,11,769,14
2969,4465000,3085000,1,0.009756,19.376771926879883,11,770,14
3874,4415000,2945000,1,0.002313,18.928955078125,11,776,14
4059,4315000,2915000,2,0.044397,19.374595642089844,11,778,14
3993,4305000,2925000,1,0.036891,20.092254638671875,11,780,14
3603,4305000,2985000,1,2.61e-4,19.967613220214844,11,797,14
4191,4335000,2895000,1,0.011655,20.50458335876465,11,810,14
3419,4415000,3015000,2,1.62e-4,19.83164405822754,11,814,14
4394,4415000,2865000,2,7.29e-4,20.053531646728516,11,815,14
3286,4385000,3035000,19,0.033264,19.947614669799805,11,824,14
3539,4315000,2995000,1,6.3e-4,21.031015396118164,11,825,14
4518,4355000,2845000,1,0.004779,18.455793380737305,11,832,14
4519,4365000,2845000,1,0.001062,20.23084259033203,11,840,14
3548,4405000,2995000,1,0.082935,19.25248146057129,12,854,14
4065,4375000,2915000,2,0.021204,20.77316665649414,12,856,14
3739,4365000,2965000,1,0.025155,20.286317825317383,12,862,14
4389,4365000,2865000,2,0.00522,17.593931198120117,12,865,14
4394,4415000,2865000,1,0.00819,18.773683547973633,12,876,14
4831,4235000,2795000,1,7.29e-4,19.765316009521484,12,890,14
3994,4315000,2925000,4,0.001791,19.155424118041992,12,894,14
3930,4325000,2935000,1,0.089406,19.444087982177734,13,921,14
4388,4355000,2865000,1,0.00522,20.03321075439453,13,928,14
3419,4415000,3015000,4,0.00855,20.016244888305664,13,933,14
4258,4355000,2885000,1,0.004221,18.771163940429688,13,939,14
4197,4395000,2895000,3,0.01071,18.818639755249023,13,977,14
3605,4325000,2985000,2,0.013266,18.405860900878903,13,978,14
