cell_position,x,y,number_of_cells,proportion_of_cell,mean_wind_speed,year,ID,cluster_id
2544,4115000,3145000,2,0.00225,19.287826538085938,1,2,12
3719,4165000,2965000,1,3.51e-4,21.04386329650879,1,3,12
1855,4375000,3255000,7,0.06705,18.84710693359375,1,11,12
2564,4315000,3145000,1,0.010125,20.0852108001709,1,14,12
3517,4095000,2995000,1,9.72e-4,20.313983917236328,1,21,12
2240,4325000,3195000,1,0.010395,20.808895111083984,1,29,12
2879,4215000,3095000,1,9.27e-4,18.548904418945312,1,41,12
3149,4315000,3055000,1,0.016425,19.458301544189453,2,55,12
1978,4305000,3235000,2,0.006003,19.169021606445312,2,62,12
3589,4165000,2985000,8,0.031122,20.30217742919922,2,73,12
1843,4255000,3255000,1,0.018801,18.453296661376953,2,90,12
3464,4215000,3005000,3,0.00747,20.639760971069336,2,110,12
3272,4245000,3035000,1,0.00225,20.349756240844727,2,117,12
2827,4345000,3105000,2,0.012483,19.654356002807617,2,130,12
2946,4235000,3085000,1,0.022797,17.67450714111328,2,136,12
3397,4195000,3015000,1,0.007272,20.64586639404297,2,139,12
2610,4125000,3135000,1,0.011898,18.033063888549805,2,140,12
3526,4185000,2995000,2,0.020421,21.09891891479492,2,150,12
3193,4105000,3045000,1,0.06084,18.819414138793945,2,151,12
1845,4275000,3255000,2,0.011529,20.462749481201172,3,155,12
2105,4275000,3215000,2,0.004761,18.604217529296875,3,178,12
2937,4145000,3085000,2,0.048816,18.567543029785156,3,182,12
3274,4265000,3035000,1,0.007209,18.67853546142578,3,187,12
3846,4135000,2945000,2,0.029331,19.3525447845459,3,195,12
3981,4185000,2925000,4,0.013005,20.63587760925293,3,197,12
3584,4115000,2985000,1,0.004923,20.193159103393555,3,199,12
2609,4115000,3135000,1,0.002241,18.59125709533691,3,203,12
2436,4335000,3165000,1,0.007569,22.975873947143555,3,213,12
3065,4125000,3065000,4,0.072648,21.20092010498047,3,220,12
3839,4065000,2945000,2,0.021627,19.0506649017334,3,226,12
3599,4265000,2985000,1,0.016848,18.734643936157227,3,239,12
3146,4285000,3055000,51,6.39e-4,19.5620059967041,3,242,12
3278,4305000,3035000,1,0.06183,20.09827995300293,4,262,12
3652,4145000,2975000,1,0.003222,19.9727783203125,4,263,12
3208,4255000,3045000,1,0.011439,18.676509857177734,4,271,12
2297,4245000,3185000,1,0.002754,20.39573097229004,4,272,12
3410,4325000,3015000,2,4.68e-4,20.190927505493164,4,278,12
3396,4185000,3015000,5,0.015894,19.91379737854004,4,281,12
2546,4135000,3145000,3,0.011925,20.924570083618164,4,289,12
2622,4245000,3135000,1,0.003825,19.843400955200195,4,292,12
4170,4125000,2895000,1,0.010908,18.879812240600582,4,295,12
3790,4225000,2955000,1,0.035622,21.498146057128903,4,303,12
2954,4315000,3085000,1,0.012852,18.32183837890625,4,304,12
4172,4145000,2895000,2,0.007416,20.02813720703125,4,321,12
2433,4305000,3165000,2,0.030375,20.747268676757812,4,322,12
3000,4125000,3075000,1,0.032607,19.534521102905273,4,333,12
2044,4315000,3225000,1,0.001602,19.511486053466797,4,334,12
3074,4215000,3065000,10,0.023076,21.920942306518555,4,348,12
2676,4135000,3125000,1,7.29e-4,20.149066925048828,4,360,12
3405,4275000,3015000,1,7.92e-4,18.66697883605957,4,367,12
