id,x,y,model.site.soilDepth,model.site.pctSand,model.site.pctClay,model.site.pctSilt,model.site.availableNitrogen,model.climate.tableName
100001,19,68,89.04449462890625,40.21683571422872,19.51518891950015,40.26797536627112,64.29701232910156,ICHEC-EC-EARTH_historical_point38185
100001,17,61,89.04449462890625,40.21683571422872,19.51518891950015,40.26797536627112,64.29701232910156,ICHEC-EC-EARTH_historical_point38185
100001,10,63,89.04449462890625,40.21683571422872,19.51518891950015,40.26797536627112,64.29701232910156,ICHEC-EC-EARTH_historical_point38185
100203,17,63,105.32064819335938,39.344959868282444,20.672053908242432,39.98298622347512,63.69965362548828,ICHEC-EC-EARTH_historical_point38185
100203,17,66,105.32064819335938,39.344959868282444,20.672053908242432,39.98298622347512,63.69965362548828,ICHEC-EC-EARTH_historical_point38185
100203,14,67,105.32064819335938,39.344959868282444,20.672053908242432,39.98298622347512,63.69965362548828,ICHEC-EC-EARTH_historical_point38185
100203,18,68,105.32064819335938,39.344959868282444,20.672053908242432,39.98298622347512,63.69965362548828,ICHEC-EC-EARTH_historical_point38185
100501,12,86,98.81897735595703,41.881532319441995,21.5609750010125,36.5574926795455,64.10182189941406,ICHEC-EC-EARTH_historical_point38186
100501,15,88,98.81897735595703,41.881532319441995,21.5609750010125,36.5574926795455,64.10182189941406,ICHEC-EC-EARTH_historical_point38186
100501,11,73,98.81897735595703,41.881532319441995,21.5609750010125,36.5574926795455,64.10182189941406,ICHEC-EC-EARTH_historical_point38186
100504,19,87,98.81897735595703,41.881532319441995,21.5609750010125,36.5574926795455,64.10182189941406,ICHEC-EC-EARTH_historical_point38186
100504,11,83,98.81897735595703,41.881532319441995,21.5609750010125,36.5574926795455,64.10182189941406,ICHEC-EC-EARTH_historical_point38186
100504,12,89,98.81897735595703,41.881532319441995,21.5609750010125,36.5574926795455,64.10182189941406,ICHEC-EC-EARTH_historical_point38186
100603,11,90,106.27217102050781,40.79470334919464,21.258278761854882,37.94701788895048,64.87210083007812,ICHEC-EC-EARTH_historical_point38186
100603,12,85,106.27217102050781,40.79470334919464,21.258278761854882,37.94701788895048,64.87210083007812,ICHEC-EC-EARTH_historical_point38186
100603,19,70,106.27217102050781,40.79470334919464,21.258278761854882,37.94701788895048,64.87210083007812,ICHEC-EC-EARTH_historical_point38186
100604,14,97,106.27217102050781,40.79470334919464,21.258278761854882,37.94701788895048,64.87210083007812,ICHEC-EC-EARTH_historical_point38186
100604,11,81,106.27217102050781,40.79470334919464,21.258278761854882,37.94701788895048,64.87210083007812,ICHEC-EC-EARTH_historical_point38186
100604,16,89,106.27217102050781,40.79470334919464,21.258278761854882,37.94701788895048,64.87210083007812,ICHEC-EC-EARTH_historical_point38186
100902,25,108,113.28629302978516,42.08695602416992,22.413043975830078,35.5,65.77101135253906,ICHEC-EC-EARTH_historical_point38514
100902,27,100,113.28629302978516,42.08695602416992,22.413043975830078,35.5,65.77101135253906,ICHEC-EC-EARTH_historical_point38514
100902,28,103,113.28629302978516,42.08695602416992,22.413043975830078,35.5,65.77101135253906,ICHEC-EC-EARTH_historical_point38514
100903,27,103,113.28629302978516,42.08695602416992,22.413043975830078,35.5,65.77101135253906,ICHEC-EC-EARTH_historical_point38514
100903,28,100,113.28629302978516,42.08695602416992,22.413043975830078,35.5,65.77101135253906,ICHEC-EC-EARTH_historical_point38514
100903,25,101,113.28629302978516,42.08695602416992,22.413043975830078,35.5,65.77101135253906,ICHEC-EC-EARTH_historical_point38514
100904,24,107,113.28629302978516,42.08695602416992,22.413043975830078,35.5,65.77101135253906,ICHEC-EC-EARTH_historical_point38514
100904,28,107,113.28629302978516,42.08695602416992,22.413043975830078,35.5,65.77101135253906,ICHEC-EC-EARTH_historical_point38514
100904,28,104,113.28629302978516,42.08695602416992,22.413043975830078,35.5,65.77101135253906,ICHEC-EC-EARTH_historical_point38514
