stand_id,species,count,dbh_from,dbh_to,hd,age,bwi_plot_id,layer
1,fasy,29.86582,6.531840000000001,6.81216,40.0,12.450196259056,1/1,overstory
1,fasy,29.162524,6.58616,6.869840000000001,40.0,12.450196259056,1/1,overstory
1,piab,72.433182,4.91,5.09,45.35999999999999,10.185255136772799,1/1,overstory
1,piab,66.626434,5.03416,5.22184,48.87468030690537,10.185255136772799,1/1,overstory
1,piab,75.215004,4.8556799999999996,5.03232,48.50543478260869,10.185255136772799,1/1,overstory
2,piab,621.69892,2.99328,3.0547199999999997,62.34374999999999,6.119976199341415,2/1,overstory
2,piab,340.33602,3.34248,3.4255200000000006,54.21965317919074,6.119976199341415,2/1,overstory
2,piab,602.71698,3.0088,3.0712,61.92307692307691,6.119976199341415,2/1,overstory
2,piab,365.23066,3.2959199999999997,3.37608,54.071856287425156,6.119976199341415,2/1,overstory
2,piab,383.37594,3.26488,3.34312,55.39877300613497,6.119976199341415,2/1,overstory
2,piab,1082.57154,2.75272,2.79928,68.55670103092784,5.184636236606127,2/1,overstory
2,piab,402.90798,3.23384,3.31016,56.35220125786164,6.119976199341415,2/1,overstory
2,piab,435.12824,3.18728,3.26072,57.18954248366012,6.119976199341415,2/1,overstory
2,piab,519.68964,3.0864000000000003,3.1536,59.99999999999999,6.119976199341415,2/1,overstory
3,piab,100.726998,4.46768,4.62032,64.937106918239,6.103454643873081,3/1,overstory
3,piab,67.313302,5.0186399999999995,5.205360000000001,57.40359897172236,9.894878069813414,3/1,overstory
3,piab,50.978268,5.46872,5.68328,52.1476510067114,9.894878069813414,3/1,overstory
3,piab,61.18991,5.166079999999999,5.36192,55.58823529411765,9.894878069813414,3/1,overstory
3,piab,32.021514,6.37664,6.64736,44.43262411347518,9.894878069813414,3/1,overstory
3,piab,84.594306,4.69272,4.85928,61.729106628242064,7.376472629391763,3/1,overstory
3,piab,55.604836,5.32128,5.526720000000001,53.808411214953274,9.894878069813414,3/1,overstory
3,piab,47.92899,5.5773600000000005,5.79864,51.019522776572664,9.894878069813414,3/1,overstory
3,piab,35.191322,6.17488,6.433120000000001,45.53903345724906,9.894878069813414,3/1,overstory
3,piab,57.197258,5.27472,5.47728,54.241706161137444,9.894878069813414,3/1,overstory
3,piab,65.283866,5.0652,5.2548,56.70886075949367,9.894878069813414,3/1,overstory
3,piab,38.404812,5.9963999999999995,6.2436,46.48543689320389,9.894878069813414,3/1,overstory
3,piab,42.251014,5.81016,6.04584,48.75763747454175,9.894878069813414,3/1,overstory
3,piab,46.705318,5.62392,5.84808,50.51391862955032,9.894878069813414,3/1,overstory
3,piab,46.110984,5.6472,5.8728,50.34042553191488,9.894878069813414,3/1,overstory
4,piab,307.50866,3.4123200000000002,3.4996799999999997,48.07692307692308,6.642654919868307,4/1,overstory
4,piab,979.03858,2.79152,2.84048,46.666666666666664,6.58457950647643,4/1,understory
4,piab,797.70666,2.87688,2.93112,60.08849557522123,6.58457950647643,4/1,overstory
4,piab,567.27088,3.03984,3.1041600000000003,56.41791044776119,6.58457950647643,4/1,overstory
4,piab,602.71698,3.0088,3.0712,57.076923076923066,6.58457950647643,4/1,overstory
4,piab,1018.59162,2.776,2.824,62.3,6.58457950647643,4/1,overstory
4,piab,1632.09668,2.61304,2.65096,51.39240506329113,5.2701093433463235,4/1,understory
4,piab,143.958344,4.06416,4.191840000000001,40.0,6.642654919868307,4/1,overstory
4,piab,484.46692,3.1252,3.1948,54.068965517241374,6.58457950647643,4/1,overstory
4,piab,133.71556,4.14176,4.274240000000001,40.0,6.933031986827691,4/1,overstory
4,piab,270.64288,3.50544,3.59856,46.54639175257733,6.642654919868307,4/1,overstory
5,pisy,233.1887,3.6218399999999997,3.72216,54.25837320574163,5.993744314057035,5/1,overstory
5,piab,199.426666,3.7537599999999998,3.86224,61.32743362831858,7.455710707354584,5/1,overstory
5,pisy,90.763336,4.5996,4.760400000000001,40.0,7.455710707354584,5/1,overstory
5,piab,314.3801,3.3968,3.4832,68.83333333333331,7.455710707354584,5/1,overstory
5,piab,435.12824,3.18728,3.26072,74.57516339869281,7.455710707354584,5/1,overstory
5,piab,235.4363,3.61408,3.7139200000000003,62.59615384615385,7.455710707354584,5/1,overstory
5,piab,285.15206,3.46664,3.55736,67.03703703703702,7.455710707354584,5/1,overstory
5,piab,237.71654,3.60632,3.70568,63.91304347826086,7.455710707354584,5/1,overstory
5,pisy,106.680046,4.39784,4.54616,42.362459546925564,7.455710707354584,5/1,overstory
6,acps,125.40371,4.211600000000001,4.3484,43.47368421052631,6.991107400219569,6/1,overstory
6,fasy,176.838836,3.8624,3.9776,54.83333333333333,6.991107400219569,6/1,overstory
6,acps,62.099782,5.142799999999999,5.3372,40.0,6.991107400219569,6/1,overstory
6,soau,67.313302,5.0186399999999995,5.205360000000001,40.0,6.991107400219569,6/1,overstory
6,lade,29.064086,6.59392,6.878080000000001,40.0,11.346763404610337,6/1,remnant
7,piab,41.570926,5.841200000000001,6.0788,53.454545454545446,8.965671455543383,7/1,overstory
7,fasy,95.843986,4.52976,4.68624,70.0,8.965671455543383,7/1,overstory
7,piab,31.023504,6.44648,6.72152,44.95636998254799,8.965671455543383,7/1,overstory
7,piab,55.865586,5.3135200000000005,5.51848,55.409836065573764,8.965671455543383,7/1,overstory
7,piab,38.404812,5.9963999999999995,6.2436,48.66019417475728,8.965671455543383,7/1,overstory
7,fasy,58.859074,5.22816,5.427840000000001,57.379807692307686,8.965671455543383,7/1,overstory
7,piab,37.669812,6.0352,6.284800000000001,48.32692307692307,8.965671455543383,7/1,overstory
7,piab,54.83345,5.34456,5.5514399999999995,55.05800464037122,8.965671455543383,7/1,overstory
7,piab,37.238888,6.05848,6.30952,48.18355640535373,8.965671455543383,7/1,overstory
7,piab,47.721722,5.58512,5.8068800000000005,52.57575757575758,8.965671455543383,7/1,overstory
7,fasy,76.877166,4.8246400000000005,4.999359999999999,64.03846153846153,8.965671455543383,7/1,overstory
7,piab,24.636452,6.98968,7.29832,40.0,8.965671455543383,7/1,overstory
8,piab,46.307826,5.6394400000000005,5.864560000000001,46.26865671641791,12.508271672447876,8/1,overstory
8,piab,63.344856,5.11176,5.30424,50.27431421446384,8.152615668057107,8/1,overstory
8,piab,49.856666,5.5075199999999995,5.72448,45.99557522123893,8.152615668057107,8/1,overstory
8,piab,41.403472,5.84896,6.08704,43.04435483870967,12.508271672447876,8/1,overstory
8,pisy,13.3650808,8.77448,9.19352,40.0,13.379402873326029,8/1,overstory
8,piab,39.783146,5.92656,6.16944,43.162055335968375,12.508271672447876,8/1,overstory
8,pisy,20.966914,7.40872,7.743280000000001,40.0,12.798648739407259,8/1,overstory
8,pisy,41.739402,5.8334399999999995,6.0705599999999995,45.060728744939276,12.508271672447876,8/1,overstory
8,fasy,57.197258,5.27472,5.47728,47.93838862559241,12.508271672447876,8/1,overstory
