stand_id,species,count,dbh_from,dbh_to,hd,age,bwi_plot_id,layer
347,abal,353.67767,11.64,12.36,76.66666666666666,20.0,347/1,overstory
348,piab,60.14286,28.227,29.973000000000003,63.57388316151202,55.0,348/1,overstory
348,piab,57.828739,31.719,33.681000000000004,59.32721712538226,55.0,348/1,overstory
348,piab,109.82136,21.534,22.866,75.22522522522522,11.648327823796164,348/1,overstory
348,piab,139.60577,18.527,19.673,79.05759162303664,25.0,348/1,overstory
348,piab,57.408775,43.553,46.247,46.99331848552339,55.0,348/1,overstory
348,piab,325.94931,12.125,12.875,82.4,2.079384011554642,348/1,understory
348,piab,124.81517,19.594,20.806,78.71287128712872,8.775235282897954,348/1,overstory
348,piab,82.565109,25.414,26.986,68.32061068702289,32.093541202672604,348/1,overstory
348,piab,80.427757,29.294,31.106,62.58278145695364,55.0,348/1,overstory
348,piab,37.043736,37.636,39.964,52.31958762886598,55.0,348/1,overstory
348,piab,78.743019,25.802,27.398000000000003,67.66917293233082,32.58351893095769,348/1,overstory
349,algl,139.60577,18.527,19.673,74.34554973821989,24.0,349/1,overstory
349,piab,325.94931,12.125,12.875,82.4,12.552301255230123,349/1,overstory
349,piab,704.90771,8.245,8.755,92.94117647058825,2.022933652536041,349/1,overstory
349,piab,372.04749,11.348999999999998,12.051,84.61538461538463,5.275728615573711,349/1,overstory
349,piab,170.16801,16.781,17.819000000000003,69.9421965317919,24.0,349/1,overstory
349,piab,89.160881,23.183,24.617,56.903765690376574,24.0,349/1,overstory
349,piab,201.45399,15.423,16.377000000000002,66.66666666666666,24.0,349/1,overstory
349,piab,470.87259,10.088,10.712000000000002,88.46153846153845,3.705312827398821,349/1,overstory
349,piab,287.91669,12.901,13.699000000000002,80.45112781954886,13.355648535564857,349/1,overstory
349,piab,155.45798,17.557000000000002,18.643,72.3756906077348,24.0,349/1,overstory
349,piab,930.05072,7.178,7.622000000000001,94.5945945945946,1.3348117507270745,349/1,overstory
